time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2017-04-27 20:00:00,62.71,60.03,60.07,48586.02,3041350.04,62.52,direct,
2017-04-27 21:00:00,63.69,61.91,62.52,58052.28,3696608.38,62.3,direct,
2017-04-27 22:00:00,62.4,61.46,61.97,44234.26,2748333.49,62.13,multiply,BTC
2017-04-27 23:00:00,63.49,61.94,62.13,56251.64,3555034.78,63.2,multiply,BTC
2017-04-28 00:00:00,63.44,61.82,63.2,62258.72,3942136.98,63.32,multiply,BTC
2017-04-28 01:00:00,68.65,63.91,63.87,79751.16,5343476.49,66.94,direct,
2017-04-28 02:00:00,67.24,64.56,65.91,122733.09,8032352.8,65.45,multiply,BTC
2017-04-28 03:00:00,65.84,63.75,65.45,77162.24,5031803.87,65.21,multiply,BTC
2017-04-28 04:00:00,68.16,64.1,65.21,102259.09,6963203.83,68.09,multiply,BTC
2017-04-28 05:00:00,68.0,66.19,68.09,106370.88,7058961.06,66.36,multiply,BTC
2017-04-28 06:00:00,68.62,66.08,66.36,121356.04,8256038.1,68.03,multiply,BTC
2017-04-28 07:00:00,69.17,65.65,68.03,117104.89,7923528.93,67.66,multiply,BTC
2017-04-28 08:00:00,67.95,66.09,67.66,52202.4,3458186.96,66.25,multiply,BTC
2017-04-28 09:00:00,66.69,65.09,66.25,40084.35,2622862.94,65.43,multiply,BTC
2017-04-28 10:00:00,66.04,61.9,65.8,73651.24,4876602.58,62.52,direct,
2017-04-28 11:00:00,63.75,60.56,62.66,126106.17,7943565.15,62.99,multiply,BTC
2017-04-28 12:00:00,65.03,63.94,62.99,44446.58,2852550.06,64.18,multiply,BTC
2017-04-28 13:00:00,66.53,64.53,64.82,48201.81,3251794.57,65.91,direct,
2017-04-28 14:00:00,66.33,65.02,65.91,47391.07,3159362.05,65.96,direct,
2017-04-28 15:00:00,65.2,64.61,64.4,33729.57,2192567.61,65.0,multiply,BTC
2017-04-28 16:00:00,67.96,64.62,65.0,188100.91,12544099.09,66.69,multiply,BTC
2017-04-28 17:00:00,67.22,65.98,66.69,81951.98,5485773.79,66.94,multiply,BTC
2017-04-28 18:00:00,67.18,65.95,66.94,43886.02,2919556.4,66.53,multiply,BTC
2017-04-28 19:00:00,67.5,66.47,66.84,33323.34,2326972.01,67.33,direct,
2017-04-28 20:00:00,69.25,66.73,67.02,113694.73,7857481.45,69.11,multiply,BTC
2017-04-28 21:00:00,71.32,68.75,69.07,85404.84,6078489.01,70.81,direct,
2017-04-28 22:00:00,71.21,68.85,70.43,77591.35,5404650.31,69.66,multiply,BTC
2017-04-28 23:00:00,74.25,70.51,70.71,75289.0,5552141.89,72.69,direct,
2017-04-29 00:00:00,74.36,72.52,72.69,67136.51,5002298.9,73.45,direct,
2017-04-29 01:00:00,73.52,70.75,73.45,50559.8,3687388.05,71.75,direct,
2017-04-29 02:00:00,71.14,69.95,71.08,40879.34,2871618.8,70.25,multiply,BTC
2017-04-29 03:00:00,71.8,70.36,70.63,18843.37,1361651.75,70.86,direct,
2017-04-29 04:00:00,72.24,70.42,70.86,14972.0,1078680.62,72.06,direct,
2017-04-29 05:00:00,70.76,69.34,70.65,42381.55,2944005.61,69.46,multiply,BTC
2017-04-29 06:00:00,70.03,68.33,69.46,51717.76,3546714.61,68.58,multiply,BTC
2017-04-29 07:00:00,70.75,68.71,69.35,27918.08,1994389.01,70.67,direct,
2017-04-29 08:00:00,68.69,67.44,69.12,32764.66,2219049.03,67.73,multiply,BTC
2017-04-29 09:00:00,69.0,65.97,67.73,80361.54,5389083.56,67.06,multiply,BTC
2017-04-29 10:00:00,68.2,65.62,67.06,46230.17,3105594.88,67.18,multiply,BTC
2017-04-29 11:00:00,68.22,66.24,67.18,34540.21,2345962.07,67.92,multiply,BTC
2017-04-29 12:00:00,69.05,68.18,69.31,17969.59,1279638.3,68.71,direct,
2017-04-29 13:00:00,70.92,68.88,68.71,30924.15,2224628.03,70.05,direct,
2017-04-29 14:00:00,69.86,68.9,69.09,41848.69,2917287.01,69.71,multiply,BTC
2017-04-29 15:00:00,71.49,69.84,69.71,67646.8,4797529.51,70.92,multiply,BTC
2017-04-29 16:00:00,71.97,70.66,70.92,42549.36,3015511.56,70.87,multiply,BTC
2017-04-29 17:00:00,72.63,71.67,71.67,20085.23,1466717.32,72.09,direct,
2017-04-29 18:00:00,71.45,70.07,71.23,35059.84,2472776.51,70.53,multiply,BTC
2017-04-29 19:00:00,71.59,70.32,71.7,17239.9,1247352.54,70.65,direct,
2017-04-29 20:00:00,71.94,70.52,70.65,15418.59,1115250.74,71.84,direct,
2017-04-29 21:00:00,72.42,71.42,71.84,11469.2,837033.39,72.3,direct,
2017-04-29 22:00:00,71.78,69.94,72.3,17343.61,1245678.83,69.95,direct,
2017-04-29 23:00:00,70.98,69.87,69.95,20928.55,1496915.68,70.07,direct,
2017-04-30 00:00:00,70.65,69.49,70.07,11159.81,791229.52,69.96,direct,
2017-04-30 01:00:00,70.8,69.76,69.96,20515.12,1467767.32,70.02,direct,
2017-04-30 02:00:00,69.51,68.49,69.21,17359.03,1205250.61,69.43,multiply,BTC
2017-04-30 03:00:00,70.95,70.3,70.62,25355.65,1880536.26,70.61,direct,
2017-04-30 04:00:00,70.79,69.99,70.61,11151.46,793708.16,70.09,direct,
2017-04-30 05:00:00,70.19,69.44,70.09,9673.18,682503.57,69.87,direct,
2017-04-30 06:00:00,69.42,68.53,69.17,13864.86,958545.29,69.13,multiply,BTC
2017-04-30 07:00:00,69.02,68.35,69.13,11478.58,790586.81,68.87,multiply,BTC
2017-04-30 08:00:00,69.66,68.6,68.87,30555.64,2105743.67,68.92,multiply,BTC
2017-04-30 09:00:00,69.28,68.36,68.92,14060.63,969656.15,68.96,multiply,BTC
2017-04-30 10:00:00,70.04,69.35,68.96,14352.16,999166.01,69.62,multiply,BTC
2017-04-30 11:00:00,70.61,69.63,69.62,25821.13,1819201.17,70.45,multiply,BTC
2017-04-30 12:00:00,71.37,69.72,70.45,72394.08,5116585.16,70.68,multiply,BTC
2017-04-30 13:00:00,70.68,69.34,70.68,28149.31,1976781.75,70.22,multiply,BTC
2017-04-30 14:00:00,71.43,70.42,70.22,27904.98,1978246.37,70.89,multiply,BTC
2017-04-30 15:00:00,71.47,70.31,70.89,32796.53,2340212.69,71.36,multiply,BTC
2017-04-30 16:00:00,73.65,70.83,71.36,85831.59,6277651.39,73.14,multiply,BTC
2017-04-30 17:00:00,75.21,72.86,73.41,61483.5,4659101.43,74.3,direct,
2017-04-30 18:00:00,76.54,74.2,73.91,140487.02,10697105.27,76.14,multiply,BTC
2017-04-30 19:00:00,79.26,76.33,76.14,233766.09,18110838.85,77.47,multiply,BTC
2017-04-30 20:00:00,78.9,76.68,77.47,116603.1,8998835.66,77.17,multiply,BTC
2017-04-30 21:00:00,76.71,74.94,77.17,92713.14,7088787.49,76.46,multiply,BTC
2017-04-30 22:00:00,77.7,76.27,76.46,57076.5,4413846.54,77.33,multiply,BTC
2017-04-30 23:00:00,80.42,78.16,78.64,33492.96,2704186.36,80.15,direct,
2017-05-01 00:00:00,81.76,78.11,79.28,206127.76,16489325.44,80.0,multiply,BTC
2017-05-01 01:00:00,80.9,78.24,80.0,107018.37,8629882.14,80.64,multiply,BTC
2017-05-01 02:00:00,82.58,80.34,81.21,46528.4,3861996.19,82.44,direct,
2017-05-01 03:00:00,83.98,82.07,82.44,54948.54,4641701.42,82.75,direct,
2017-05-01 04:00:00,83.5,81.75,82.75,29603.11,2480664.06,83.08,direct,
2017-05-01 05:00:00,84.09,82.07,83.08,29308.8,2465530.0,82.3,direct,
2017-05-01 06:00:00,80.94,79.78,80.82,51346.02,4144497.34,80.72,multiply,BTC
2017-05-01 07:00:00,80.44,79.5,80.72,34340.55,2740745.74,79.81,multiply,BTC
2017-05-01 08:00:00,81.4,80.3,81.87,14319.62,1189231.14,80.63,direct,
2017-05-01 09:00:00,80.37,78.96,79.85,39701.47,3159158.48,79.57,multiply,BTC
2017-05-01 10:00:00,81.62,80.04,80.53,21886.66,1817219.5,80.19,direct,
2017-05-01 11:00:00,80.48,78.86,79.46,70237.39,5605622.22,79.81,multiply,BTC
2017-05-01 12:00:00,81.76,80.31,80.59,15977.03,1313014.27,81.54,direct,
2017-05-01 13:00:00,83.14,80.96,81.54,41770.62,3489205.45,82.44,direct,
2017-05-01 14:00:00,84.4,78.8,82.44,128306.05,10418093.89,78.9,direct,
2017-05-01 15:00:00,79.51,66.85,80.92,393394.01,29902698.38,76.01,multiply,BTC
2017-05-01 16:00:00,79.5,75.6,77.01,98616.63,7947404.67,75.66,direct,
2017-05-01 17:00:00,77.82,71.27,75.66,165654.67,12793192.52,75.81,direct,
2017-05-01 18:00:00,77.76,73.83,74.36,125214.85,9642332.4,77.01,multiply,BTC
2017-05-01 19:00:00,78.59,76.78,77.92,26826.0,2105826.92,76.85,direct,
2017-05-01 20:00:00,77.74,74.09,75.33,77158.8,5841199.16,75.7,multiply,BTC
2017-05-01 21:00:00,76.4,73.39,76.54,46141.36,3518601.21,75.44,direct,
2017-05-01 22:00:00,75.99,73.01,73.86,63124.08,4754880.16,75.33,multiply,BTC
2017-05-01 23:00:00,76.02,74.37,75.33,30800.75,2314894.32,75.16,multiply,BTC
2017-05-02 00:00:00,80.15,77.98,78.09,29160.19,2364425.37,79.29,direct,
2017-05-02 01:00:00,77.67,75.85,76.18,29744.52,2295428.09,77.17,multiply,BTC
2017-05-02 02:00:00,78.07,76.83,77.17,46262.44,3578099.02,77.34,multiply,BTC
2017-05-02 03:00:00,77.61,76.36,77.34,36195.03,2797383.8,77.29,multiply,BTC
2017-05-02 04:00:00,78.34,75.48,77.29,51910.41,3949290.89,76.08,multiply,BTC
2017-05-02 05:00:00,77.81,75.61,76.08,46766.11,3569406.7,76.32,multiply,BTC
2017-05-02 06:00:00,77.18,75.89,76.32,20437.23,1575093.76,77.07,multiply,BTC
2017-05-02 07:00:00,77.46,76.68,77.07,20642.37,1591125.31,77.08,multiply,BTC
2017-05-02 08:00:00,78.42,77.0,78.21,16484.86,1317486.51,77.03,direct,
2017-05-02 09:00:00,77.22,74.26,76.15,53168.31,3984409.23,74.94,multiply,BTC
2017-05-02 10:00:00,76.06,73.75,74.94,56915.88,4211373.16,73.99,multiply,BTC
2017-05-02 11:00:00,75.38,71.66,73.99,142634.54,10550773.17,73.97,multiply,BTC
2017-05-02 12:00:00,75.71,72.83,73.97,68385.93,5126036.87,74.96,multiply,BTC
2017-05-02 13:00:00,76.62,73.99,74.96,44040.63,3356756.17,76.22,multiply,BTC
2017-05-02 14:00:00,77.27,75.56,76.22,65868.76,5041521.7,76.54,multiply,BTC
2017-05-02 15:00:00,78.25,76.37,77.64,42917.18,3434346.72,78.05,direct,
2017-05-02 16:00:00,78.68,77.26,78.05,18910.3,1481512.68,78.05,direct,
2017-05-02 17:00:00,77.96,77.28,78.05,15109.44,1192121.36,77.77,direct,
2017-05-02 18:00:00,77.95,75.41,77.77,93053.85,7117729.09,77.85,direct,
2017-05-02 19:00:00,78.19,76.97,77.85,29216.4,2304033.77,77.66,direct,
2017-05-02 20:00:00,77.98,77.14,77.17,26163.44,2034231.95,77.75,multiply,BTC
2017-05-02 21:00:00,78.28,78.01,78.06,13202.22,1046663.39,78.23,direct,
2017-05-02 22:00:00,78.69,75.9,77.58,45351.55,3488592.63,76.92,multiply,BTC
2017-05-02 23:00:00,77.18,76.08,76.92,36595.59,2790942.07,76.26,multiply,BTC
2017-05-03 00:00:00,77.0,75.69,76.26,34694.98,2648333.61,76.33,multiply,BTC
2017-05-03 01:00:00,76.8,74.35,76.33,81825.34,6181045.96,75.54,multiply,BTC
2017-05-03 02:00:00,76.82,74.58,75.54,37353.71,2854248.97,76.41,multiply,BTC
2017-05-03 03:00:00,77.31,76.1,77.11,10976.94,849123.29,77.1,direct,
2017-05-03 04:00:00,77.83,76.85,77.1,17848.89,1441995.07,77.76,direct,
2017-05-03 05:00:00,76.12,75.41,76.64,25800.21,1962520.46,76.07,multiply,BTC
2017-05-03 06:00:00,77.42,75.98,76.98,15862.26,1262573.11,76.33,direct,
2017-05-03 07:00:00,76.55,75.4,76.33,12267.96,956918.12,75.96,direct,
2017-05-03 08:00:00,76.76,75.46,75.96,7883.89,611917.62,76.52,direct,
2017-05-03 09:00:00,77.67,76.37,75.23,31003.06,2379704.2,76.76,multiply,BTC
2017-05-03 10:00:00,77.14,76.21,76.76,16489.53,1259795.41,76.4,multiply,BTC
2017-05-03 11:00:00,77.63,76.74,76.99,10294.58,811975.32,77.53,direct,
2017-05-03 12:00:00,77.96,77.44,77.53,13286.01,1052471.35,77.88,direct,
2017-05-03 13:00:00,78.33,77.39,77.88,21707.93,1720684.46,78.02,direct,
2017-05-03 14:00:00,80.32,77.82,78.02,45622.12,3701516.8,79.94,direct,
2017-05-03 15:00:00,80.6,79.18,79.94,31517.94,2587354.44,80.33,direct,
2017-05-03 16:00:00,80.3,76.9,80.33,62542.86,5035742.03,77.69,direct,
2017-05-03 17:00:00,78.81,77.39,77.69,26736.14,2128015.38,78.17,direct,
2017-05-03 18:00:00,79.73,78.34,78.17,22050.81,1780228.36,79.38,direct,
2017-05-03 19:00:00,79.59,77.38,79.38,24493.62,1959668.88,78.63,direct,
2017-05-03 20:00:00,78.98,78.05,78.63,16821.59,1345979.35,78.74,direct,
2017-05-03 21:00:00,80.01,78.75,78.74,17780.04,1440820.37,79.79,direct,
2017-05-03 22:00:00,80.38,79.57,79.79,11485.49,929988.99,80.35,direct,
2017-05-03 23:00:00,81.04,80.13,80.35,19385.03,1584059.34,80.71,direct,
2017-05-04 00:00:00,80.94,80.6,80.71,11108.04,905011.57,80.92,direct,
2017-05-04 01:00:00,80.7,79.87,80.92,16434.03,1343525.02,80.4,direct,
2017-05-04 02:00:00,80.4,79.47,80.4,14458.72,1169021.47,80.04,direct,
2017-05-04 03:00:00,82.67,80.43,80.04,19613.33,1610454.11,82.56,direct,
2017-05-04 04:00:00,84.53,81.34,82.56,55508.6,4657778.36,84.36,direct,
2017-05-04 05:00:00,87.04,83.27,84.36,95603.14,8296938.15,85.43,direct,
