high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,realbody,trend1,trend2,MorningStar,MorningStar_good,MorningStar_bad,EveningStar,EveningStar_good,EveningStar_bad
67.52,66.3,65.36,149979.27,10057729.21,67.06,multiply,BTC,1.7000000000000028,,,,,,,,
67.49,66.01,66.94,90741.52,6066573.52,67.06,direct,,0.12000000000000455,,,,,,,,
68.66,66.65,67.06,114094.69,7697691.59,67.25,direct,,0.18999999999999773,,,,,,,,
67.27,66.25,67.28,114224.94,7567839.72,66.25,multiply,BTC,-1.0300000000000011,,,,,,,,
67.05,65.73,66.16,48957.98,3247336.27,65.97,direct,,-0.18999999999999773,,,,,,,,
66.67,65.78,65.97,37474.35,2484877.13,66.67,direct,,0.7000000000000028,,,,,,,,
67.06,66.03,66.67,35877.15,2386688.81,66.52,direct,,-0.15000000000000568,-1.0,,,,,,,
67.61,66.52,66.52,31009.25,2080152.92,67.17,direct,,0.6500000000000057,-1.0,-1.0,,,,,,
68.58,66.86,67.17,51964.95,3506043.22,68.47,direct,,1.2999999999999972,1.0,1.0,,,,,,
69.86,68.22,68.47,56098.5,3878651.37,69.67,direct,,1.2000000000000028,1.0,1.0,,,,,,
69.67,68.13,69.67,73050.1,5017938.8,68.17,direct,,-1.5,1.0,1.0,,,,,,
71.52,67.77,68.17,106112.07,7363801.35,71.52,direct,,3.3499999999999943,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
73.6,71.47,71.52,107313.89,7777672.38,73.24,direct,,1.7199999999999989,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
73.97,72.67,73.24,91438.33,6716920.61,73.3,direct,,0.060000000000002274,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
74.39,70.06,73.3,139954.43,10109633.2,72.38,direct,,-0.9200000000000017,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
73.43,71.45,72.38,98953.45,7150952.67,71.54,direct,,-0.8399999999999892,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
73.17,70.87,71.54,93951.41,6773789.6,72.51,direct,,0.9699999999999989,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
72.57,71.21,72.51,77776.51,5583038.79,71.55,direct,,-0.960000000000008,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
72.8,70.15,71.55,94294.27,6708146.88,72.43,direct,,0.8800000000000097,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
72.57,68.69,72.43,89521.0,6278596.87,69.61,direct,,-2.8200000000000074,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
70.64,69.23,69.61,62870.7,4401496.41,70.09,direct,,0.480000000000004,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
70.59,69.33,70.09,46605.2,3264929.34,69.86,direct,,-0.23000000000000398,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
70.19,67.7,69.86,69685.89,4792595.78,68.4,direct,,-1.4599999999999937,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0
69.76,68.22,68.4,56533.48,3899379.29,68.76,direct,,0.35999999999999943,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
69.7,67.27,68.76,58718.72,4048388.8,67.93,direct,,-0.8299999999999983,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
69.39,67.68,67.93,47640.84,3270904.86,68.86,direct,,0.9299999999999926,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
70.9,68.03,68.86,85380.33,5949376.09,70.44,direct,,1.5799999999999983,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
71.35,69.27,70.44,90703.43,6362708.07,69.37,direct,,-1.0699999999999932,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
70.04,68.69,69.37,53785.81,3739392.55,68.69,direct,,-0.6800000000000068,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
69.09,66.77,68.69,43718.9,2974582.57,67.21,direct,,-1.480000000000004,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
67.83,66.83,67.21,46220.01,3107014.59,67.63,direct,,0.4200000000000017,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
68.16,67.14,67.63,29337.95,1985856.1,67.14,direct,,-0.4899999999999949,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
68.38,67.14,67.14,27761.8,1884542.55,67.94,direct,,0.7999999999999972,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
68.06,67.35,67.94,25652.58,1736671.46,68.06,direct,,0.12000000000000455,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
68.48,67.25,68.06,32569.25,2208152.59,67.89,direct,,-0.1700000000000017,-1.0,-1.0,2.0,0.0,1.0,0.0,0.0,0.0
68.2,66.12,67.89,30846.88,2077263.79,66.35,direct,,-1.5400000000000063,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
65.83,65.14,66.35,141059.02,9279576.38,65.79,multiply,BTC,-0.5599999999999881,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
67.7,65.73,65.79,141291.84,9530659.83,67.45,multiply,BTC,1.6599999999999966,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
68.6,67.22,67.45,141612.73,9694275.02,68.46,multiply,BTC,1.009999999999991,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
68.78,67.96,68.53,42572.59,2908899.36,68.11,direct,,-0.4200000000000017,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
73.2,67.99,68.11,121295.5,8650203.2,72.62,direct,,4.510000000000005,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
72.85,70.41,72.62,53007.93,3796278.64,70.5,direct,,-2.1200000000000045,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
71.13,69.91,70.5,65911.26,4640295.34,70.62,direct,,0.12000000000000455,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
71.35,70.41,70.62,45500.74,3223448.33,71.06,direct,,0.4399999999999977,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
71.96,70.85,71.04,89069.45,6319161.95,70.95,multiply,BTC,-0.09000000000000341,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
71.07,69.86,70.95,104980.12,7450203.08,70.97,multiply,BTC,0.01999999999999602,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
72.43,70.69,71.0,57526.74,4118854.43,72.02,direct,,1.019999999999996,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
