high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,realbody,trend1,trend2,MorningStar,MorningStar_good,MorningStar_bad,EveningStar,EveningStar_good,EveningStar_bad
224.05,221.73,223.61,65750.49,14654942.42,222.64,direct,,-0.9700000000000273,,,,0,0,,0,0
223.07,221.45,222.64,93217.61,20713728.38,221.94,direct,,-0.6999999999999886,,,,0,0,,0,0
222.31,220.06,221.94,48930.46,10835042.03,220.16,direct,,-1.7800000000000011,,,,0,0,,0,0
220.97,218.2,220.16,93788.13,20574155.16,218.32,direct,,-1.8400000000000034,,,,0,0,,0,0
218.9,214.22,218.32,154811.59,33533001.48,214.55,direct,,-3.769999999999982,,,,0,0,,0,0
219.74,214.35,214.55,119366.66,25890024.37,217.15,direct,,2.5999999999999943,,,,0,0,,0,0
220.37,217.09,217.15,60772.95,13316143.85,218.94,direct,,1.789999999999992,-1.0,,,0,0,,0,0
220.03,217.69,218.94,52488.51,11489972.01,218.33,direct,,-0.6099999999999852,-1.0,-1.0,,0,0,,0,0
218.4,215.39,218.33,64012.68,13880398.19,217.94,direct,,-0.3900000000000148,-1.0,-1.0,,0,0,,0,0
218.68,216.58,217.94,50161.62,10916696.53,217.01,direct,,-0.9300000000000068,1.0,-1.0,,0,0,,0,0
219.75,216.29,217.01,62768.76,13690067.59,218.3,direct,,1.2900000000000205,1.0,1.0,,0,0,,0,0
219.34,216.36,218.3,65948.13,14377933.81,216.72,direct,,-1.5800000000000125,-1.0,1.0,0.0,0,0,0.0,0,0
217.2,214.39,216.72,70448.63,15189584.01,214.43,direct,,-2.289999999999992,-1.0,-1.0,0.0,0,0,0.0,0,0
217.01,214.24,214.43,62387.0,13454376.34,214.67,direct,,0.23999999999998067,-1.0,-1.0,0.0,0,0,0.0,0,0
215.38,213.49,214.67,83680.41,17943845.43,213.59,direct,,-1.079999999999984,-1.0,-1.0,0.0,0,0,0.0,0,0
214.46,211.4,213.59,166495.51,35436685.5,211.74,direct,,-1.8499999999999943,-1.0,-1.0,0.0,0,0,0.0,0,0
212.35,207.24,211.74,253654.07,53051819.72,208.86,direct,,-2.8799999999999955,-1.0,-1.0,0.0,0,0,0.0,0,0
213.44,208.34,208.86,154143.5,32519410.5,212.54,direct,,3.6799999999999784,-1.0,-1.0,0.0,0,0,0.0,0,0
214.02,207.65,212.54,169947.13,35741876.87,207.68,direct,,-4.859999999999985,-1.0,-1.0,0.0,0,0,0.0,0,0
208.6,203.79,207.68,198772.11,40948608.0,204.05,direct,,-3.6299999999999955,-1.0,-1.0,0.0,0,0,0.0,0,0
206.74,202.75,204.05,224767.18,45993761.82,203.76,direct,,-0.29000000000002046,-1.0,-1.0,0.0,0,0,0.0,0,0
204.35,200.2,203.76,222127.78,44871834.38,202.1,direct,,-1.6599999999999966,-1.0,-1.0,0.0,0,0,0.0,0,0
206.23,200.86,202.1,220999.26,45122406.53,206.18,direct,,4.0800000000000125,-1.0,-1.0,0.0,0,0,0.0,0,0
207.47,204.14,206.18,149098.14,30674579.2,206.82,direct,,0.6399999999999864,-1.0,-1.0,0.0,0,0,0.0,0,0
207.91,204.13,206.82,71843.35,14817077.59,205.34,direct,,-1.4799999999999898,1.0,-1.0,0.0,0,0,0.0,0,0
