high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,realbody,trend1,trend2,close_forward,MorningStar,MorningStar_good,MorningStar_bad,EveningStar,EveningStar_good,EveningStar_bad
1.766,1.754,1.763,2424371.53,4265108.71,1.757,direct,,-0.006000000000000005,,,1.678,,,,,,
1.759,1.744,1.757,3880455.4,6794556.86,1.749,direct,,-0.007999999999999785,,,1.686,,,,,,
1.751,1.741,1.749,3142274.86,5478485.03,1.743,direct,,-0.006000000000000005,,,1.701,,,,,,
1.743,1.72,1.743,3371133.92,5832831.05,1.721,direct,,-0.02200000000000002,,,1.684,0.0,0.0,0.0,0.0,0.0,0.0
1.722,1.682,1.721,4830753.28,8207524.19,1.685,direct,,-0.03600000000000003,,,1.673,0.0,0.0,0.0,0.0,0.0,0.0
1.692,1.674,1.685,2274546.36,3829533.23,1.676,direct,,-0.009000000000000119,,,1.68,0.0,0.0,0.0,0.0,0.0,0.0
1.691,1.675,1.676,2197688.86,3702583.4,1.687,direct,,0.01100000000000012,-1.0,,1.663,0.0,0.0,0.0,0.0,0.0,0.0
1.696,1.686,1.687,2460410.19,4157303.04,1.689,direct,,0.0020000000000000018,-1.0,-1.0,1.622,0.0,0.0,0.0,0.0,0.0,0.0
1.69,1.67,1.689,2939508.24,4929578.54,1.678,direct,,-0.01100000000000012,-1.0,-1.0,1.621,0.0,0.0,0.0,0.0,0.0,0.0
1.69,1.676,1.678,2014500.2,3393622.08,1.686,direct,,0.008000000000000007,-1.0,-1.0,1.673,0.0,0.0,0.0,0.0,0.0,0.0
1.705,1.685,1.686,2005690.24,3401919.0,1.701,direct,,0.015000000000000124,1.0,-1.0,1.633,2.0,0.0,1.0,0.0,0.0,0.0
1.702,1.684,1.701,1695131.57,2871389.5,1.684,direct,,-0.017000000000000126,1.0,1.0,1.618,0.0,0.0,0.0,0.0,0.0,0.0
1.691,1.672,1.684,2361562.4,3972253.65,1.673,direct,,-0.010999999999999899,-1.0,1.0,1.614,0.0,0.0,0.0,0.0,0.0,0.0
1.683,1.672,1.673,1938894.8,3253678.43,1.68,direct,,0.006999999999999895,-1.0,-1.0,1.622,0.0,0.0,0.0,0.0,0.0,0.0
1.682,1.662,1.68,3497624.58,5845846.26,1.663,direct,,-0.016999999999999904,-1.0,-1.0,1.639,0.0,0.0,0.0,0.0,0.0,0.0
1.664,1.617,1.663,5288292.9,8696536.91,1.622,direct,,-0.040999999999999925,-1.0,-1.0,1.647,0.0,0.0,0.0,0.0,0.0,0.0
