time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2017-11-01 22:00:00,1.281,1.246,1.265,23681.0,29962.76,1.265,multiply,BTC
2017-11-01 23:00:00,1.28,1.253,1.252,32302.0,40699.38,1.26,multiply,BTC
2017-11-02 00:00:00,1.277,1.201,1.263,73643.0,88438.23,1.201,multiply,BTC
2017-11-02 01:00:00,1.294,1.21,1.225,37262.0,45463.96,1.22,multiply,ETH
2017-11-02 02:00:00,1.265,1.202,1.22,25722.4,31808.17,1.237,multiply,ETH
2017-11-02 03:00:00,1.243,1.202,1.237,7839.66,9647.62,1.231,multiply,ETH
2017-11-02 04:00:00,1.242,1.213,1.231,7867.0,9650.65,1.227,multiply,ETH
2017-11-02 05:00:00,1.276,1.205,1.227,43169.0,55076.46,1.276,multiply,ETH
2017-11-02 06:00:00,1.359,1.243,1.276,88627.0,120463.24,1.359,multiply,ETH
2017-11-02 07:00:00,1.377,1.303,1.346,65786.0,85731.0,1.303,multiply,ETH
2017-11-02 08:00:00,1.332,1.285,1.303,31492.07,41065.64,1.304,multiply,ETH
2017-11-02 09:00:00,1.344,1.299,1.304,22223.0,29362.45,1.321,multiply,ETH
2017-11-02 10:00:00,1.341,1.288,1.327,32203.0,41645.09,1.293,multiply,ETH
2017-11-02 11:00:00,1.335,1.218,1.297,188269.0,243344.16,1.293,multiply,BTC
2017-11-02 12:00:00,1.326,1.25,1.274,25837.0,33676.2,1.303,multiply,ETH
2017-11-02 13:00:00,1.337,1.288,1.302,97714.0,127796.34,1.308,multiply,BTC
2017-11-02 14:00:00,1.34,1.3,1.312,17019.0,22118.56,1.3,multiply,ETH
2017-11-02 15:00:00,1.32,1.267,1.3,18116.0,23633.51,1.305,multiply,ETH
2017-11-02 16:00:00,1.318,1.294,1.305,49380.0,63913.58,1.294,multiply,ETH
2017-11-02 17:00:00,1.319,1.296,1.294,65307.0,86170.38,1.319,multiply,ETH
2017-11-02 18:00:00,1.304,1.277,1.318,19037.0,24569.89,1.291,multiply,BTC
2017-11-02 19:00:00,1.324,1.306,1.295,16260.0,21520.86,1.324,multiply,ETH
2017-11-02 20:00:00,1.32,1.297,1.306,34775.0,45253.42,1.301,multiply,BTC
2017-11-02 21:00:00,1.317,1.297,1.303,21340.0,27797.61,1.303,multiply,BTC
2017-11-02 22:00:00,1.309,1.295,1.295,10529.0,13662.84,1.298,multiply,ETH
2017-11-02 23:00:00,1.315,1.286,1.3,28514.0,37116.6,1.302,multiply,BTC
2017-11-03 00:00:00,1.303,1.289,1.297,11112.0,14477.31,1.303,multiply,ETH
2017-11-03 01:00:00,1.331,1.301,1.303,6117.0,8082.3,1.321,multiply,ETH
2017-11-03 02:00:00,1.364,1.311,1.321,17183.0,22844.66,1.329,multiply,ETH
2017-11-03 03:00:00,1.353,1.318,1.33,22442.0,29636.47,1.321,multiply,ETH
2017-11-03 04:00:00,1.365,1.328,1.321,26111.0,34680.73,1.328,multiply,ETH
2017-11-03 05:00:00,1.363,1.318,1.328,23796.0,32271.56,1.356,multiply,ETH
2017-11-03 06:00:00,1.376,1.352,1.356,10041.0,13812.98,1.376,multiply,ETH
2017-11-03 07:00:00,1.394,1.374,1.376,11818.4,16242.9,1.374,multiply,ETH
2017-11-03 08:00:00,1.383,1.358,1.374,11628.0,15809.04,1.36,multiply,ETH
2017-11-03 09:00:00,1.386,1.342,1.36,13558.0,18312.92,1.351,multiply,ETH
2017-11-03 10:00:00,1.392,1.358,1.351,8463.0,11727.67,1.386,multiply,ETH
2017-11-03 11:00:00,1.423,1.375,1.386,19540.5,27805.35,1.423,multiply,ETH
2017-11-03 12:00:00,1.426,1.385,1.423,20204.39,28335.72,1.402,multiply,ETH
2017-11-03 13:00:00,1.421,1.403,1.403,13527.0,18973.25,1.403,multiply,ETH
2017-11-03 14:00:00,1.43,1.367,1.403,30669.0,43127.66,1.406,multiply,ETH
2017-11-03 15:00:00,1.427,1.417,1.414,29053.0,41350.58,1.423,multiply,BTC
2017-11-03 16:00:00,1.426,1.403,1.421,17797.0,24974.59,1.403,multiply,ETH
2017-11-03 17:00:00,1.425,1.404,1.412,33409.0,47233.86,1.414,multiply,BTC
2017-11-03 18:00:00,1.43,1.413,1.409,8344.0,11810.93,1.415,multiply,ETH
2017-11-03 19:00:00,1.468,1.426,1.415,18478.0,27126.2,1.468,multiply,ETH
2017-11-03 20:00:00,1.483,1.463,1.468,10622.78,15690.68,1.477,multiply,ETH
2017-11-03 21:00:00,1.462,1.44,1.469,94316.0,137669.91,1.46,multiply,BTC
2017-11-03 22:00:00,1.469,1.433,1.458,237420.0,346964.68,1.461,multiply,BTC
2017-11-03 23:00:00,1.467,1.444,1.451,4407.1,6437.6,1.461,multiply,ETH
2017-11-04 00:00:00,1.436,1.382,1.461,14095.0,19587.18,1.39,multiply,ETH
2017-11-04 01:00:00,1.415,1.369,1.39,20764.0,29158.79,1.404,multiply,ETH
2017-11-04 02:00:00,1.42,1.388,1.404,7517.0,10435.91,1.388,multiply,ETH
2017-11-04 03:00:00,1.424,1.394,1.388,15271.0,21747.27,1.424,multiply,ETH
2017-11-04 04:00:00,1.49,1.435,1.424,43514.0,64823.44,1.49,multiply,ETH
