high,low,open,volumeto,close,sentiment,rank_score,realbody,trend1,trend2,close_forward,MorningStar,MorningStar_good,MorningStar_bad,EveningStar,EveningStar_good,EveningStar_bad
0.03363,0.03328,0.03328,1325.27,0.03352,0.0,2.71,0.0002400000000000041,,,0.03488,,,,,,
0.03392,0.03352,0.03352,6937.67,0.03368,0.0,2.71,0.00016000000000000042,,,0.03469,,,,,,
0.03385,0.03368,0.03368,40.42,0.03378,1.5,2.73,9.999999999999593e-05,,,0.03467,,,,,,
0.03424,0.03367,0.03378,11216.18,0.0341,0.0,4.74,0.00032000000000000084,,,0.03404,0.0,0.0,0.0,0.0,0.0,0.0
0.03424,0.03405,0.0341,2475.97,0.0342,0.0,4.74,0.00010000000000000286,,,0.03354,0.0,0.0,0.0,0.0,0.0,0.0
0.0349,0.0342,0.0342,84496.34,0.03477,2.0,4.29,0.0005700000000000011,,,0.03278,0.0,0.0,0.0,0.0,0.0,0.0
0.03496,0.03449,0.03477,13377.18,0.03457,2.0,4.29,-0.00020000000000000573,1.0,,0.03241,0.0,0.0,0.0,0.0,0.0,0.0
0.03472,0.03455,0.03457,15678.76,0.03455,2.0,4.29,-1.9999999999999185e-05,1.0,1.0,0.0325,0.0,0.0,0.0,0.0,0.0,0.0
0.03488,0.03455,0.03455,26500.51,0.03488,2.0,4.29,0.0003300000000000039,1.0,1.0,0.03213,0.0,0.0,0.0,0.0,0.0,0.0
0.03499,0.03466,0.03488,5461.86,0.03469,2.0,4.29,-0.00019000000000000267,1.0,1.0,0.03223,0.0,0.0,0.0,0.0,0.0,0.0
0.03477,0.03466,0.03469,1542.67,0.03467,2.0,4.29,-1.9999999999999185e-05,1.0,1.0,0.03229,0.0,0.0,0.0,0.0,0.0,0.0
0.03472,0.03399,0.03467,9431.17,0.03404,2.0,4.29,-0.0006299999999999986,-1.0,-1.0,0.03259,0.0,0.0,0.0,0.0,0.0,0.0
0.0341,0.03354,0.03404,1926.75,0.03354,2.0,4.29,-0.0005000000000000004,-1.0,-1.0,0.03221,0.0,0.0,0.0,0.0,0.0,0.0
0.03355,0.03222,0.03354,80979.3,0.03278,2.0,4.29,-0.0007600000000000037,-1.0,-1.0,0.03229,0.0,0.0,0.0,0.0,0.0,0.0
0.03278,0.03239,0.03278,27352.37,0.03241,2.0,4.29,-0.00036999999999999533,-1.0,-1.0,0.03211,0.0,0.0,0.0,0.0,0.0,0.0
0.0325,0.0323,0.03241,13554.13,0.0325,2.0,4.29,8.99999999999998e-05,-1.0,-1.0,0.03269,0.0,0.0,0.0,0.0,0.0,0.0
0.0325,0.03213,0.0325,1812.98,0.03213,2.0,4.29,-0.00037000000000000227,-1.0,-1.0,0.03277,0.0,0.0,0.0,0.0,0.0,0.0
0.03226,0.0321,0.03213,8357.42,0.03223,2.0,4.29,0.00010000000000000286,-1.0,-1.0,0.03253,0.0,0.0,0.0,0.0,0.0,0.0
0.03237,0.03223,0.03223,14250.16,0.03229,2.0,4.29,5.9999999999997555e-05,-1.0,-1.0,0.03204,2.0,0.0,1.0,0.0,0.0,0.0
