high,low,open,volumeto,close,sentiment,rank_score,realbody,trend1,trend2,close_forward,MorningStar,MorningStar_good,MorningStar_bad,EveningStar,EveningStar_good,EveningStar_bad
158.8,158.05,157.79,4523174.43,158.53,0.0,2.71,0.7400000000000091,,,164.28,,,,,,
160.23,159.61,158.53,12200217.57,159.75,0.0,2.71,1.2199999999999989,,,163.88,,,,,,
160.42,159.93,159.75,7676750.06,160.21,1.5,2.73,0.46000000000000796,,,164.09,,,,,,
162.17,160.91,160.21,13226494.6,160.91,0.0,4.74,0.6999999999999886,,,162.13,0.0,0.0,0.0,0.0,0.0,0.0
162.37,161.8,160.91,6436729.24,162.3,0.0,4.74,1.3900000000000148,,,158.81,0.0,0.0,0.0,0.0,0.0,0.0
165.27,163.76,162.3,26638209.26,163.91,2.0,4.29,1.6099999999999852,,,153.72,0.0,0.0,0.0,0.0,0.0,0.0
163.85,162.42,163.91,20745230.77,163.49,2.0,4.29,-0.4199999999999875,1.0,,153.54,0.0,0.0,0.0,0.0,0.0,0.0
164.04,162.36,163.55,3771580.63,163.12,2.0,4.29,-0.4300000000000068,1.0,1.0,154.2,0.0,0.0,0.0,0.0,0.0,0.0
164.8,163.11,163.12,3882230.79,164.28,2.0,4.29,1.1599999999999966,1.0,1.0,152.78,0.0,0.0,0.0,0.0,0.0,0.0
164.31,163.67,164.3,5661323.97,163.88,2.0,4.29,-0.4200000000000159,1.0,1.0,153.05,0.0,0.0,0.0,0.0,0.0,0.0
164.23,163.73,163.88,5156853.3,164.09,2.0,4.29,0.21000000000000796,1.0,1.0,152.62,0.0,0.0,0.0,0.0,0.0,0.0
162.55,161.64,164.09,13411481.36,162.13,2.0,4.29,-1.960000000000008,-1.0,1.0,153.74,0.0,0.0,0.0,0.0,0.0,0.0
159.57,158.39,162.13,9961066.88,158.81,2.0,4.29,-3.319999999999993,-1.0,-1.0,152.64,0.0,0.0,0.0,0.0,0.0,0.0
155.0,153.04,158.81,41398362.58,153.72,2.0,4.29,-5.090000000000003,-1.0,-1.0,152.63,0.0,0.0,0.0,0.0,0.0,0.0
153.96,152.24,153.6,6279061.91,153.54,2.0,4.29,-0.060000000000002274,-1.0,-1.0,151.56,0.0,0.0,0.0,0.0,0.0,0.0
154.34,153.73,153.61,13447055.34,154.2,2.0,4.29,0.589999999999975,-1.0,-1.0,153.84,0.0,0.0,0.0,0.0,0.0,0.0
153.38,152.78,154.2,6286743.05,152.78,2.0,4.29,-1.4199999999999875,-1.0,-1.0,155.88,0.0,0.0,0.0,0.0,0.0,0.0
