high,low,open,volumeto,close,sentiment,rank_score,realbody,trend1,trend2,close_forward,MorningStar,MorningStar_good,MorningStar_bad,EveningStar,EveningStar_good,EveningStar_bad
0.175,0.1724,0.1722,5034.1,0.1739,0.0,2.71,0.001700000000000007,,,0.1787,,,,,,
0.1754,0.1718,0.1739,3817.72,0.1733,0.0,2.71,-0.0005999999999999894,,,0.1785,,,,,,
0.1747,0.1719,0.1733,8811.97,0.1727,1.5,2.73,-0.0006000000000000172,,,0.1798,,,,,,
0.1742,0.1722,0.1727,5303.13,0.1738,0.0,4.74,0.0011000000000000176,,,0.1865,0.0,0.0,0.0,0.0,0.0,0.0
0.1786,0.1743,0.1738,5152.63,0.1769,0.0,4.74,0.0030999999999999917,,,0.1843,0.0,0.0,0.0,0.0,0.0,0.0
0.1813,0.1772,0.1769,12609.63,0.1792,2.0,4.29,0.0022999999999999965,,,0.1747,0.0,0.0,0.0,0.0,0.0,0.0
0.1813,0.1758,0.1792,7802.1,0.1774,2.0,4.29,-0.001799999999999996,1.0,,0.1764,0.0,0.0,0.0,0.0,0.0,0.0
0.1802,0.1773,0.1774,3999.9,0.18,2.0,4.29,0.002599999999999991,1.0,1.0,0.1828,0.0,0.0,0.0,0.0,0.0,0.0
0.1812,0.1781,0.18,4617.43,0.1787,2.0,4.29,-0.0012999999999999956,1.0,1.0,0.1776,0.0,0.0,0.0,0.0,0.0,0.0
0.1787,0.1778,0.1787,4127.34,0.1785,2.0,4.29,-0.00020000000000000573,1.0,1.0,0.1797,0.0,0.0,0.0,0.0,0.0,0.0
0.1803,0.1779,0.1785,3585.08,0.1798,2.0,4.29,0.0012999999999999956,1.0,1.0,0.1794,0.0,0.0,0.0,0.0,0.0,0.0
0.1868,0.1765,0.1798,11292.25,0.1865,2.0,4.29,0.0067000000000000115,1.0,1.0,0.1816,0.0,0.0,0.0,0.0,0.0,0.0
0.1844,0.1798,0.1865,10322.16,0.1843,2.0,4.29,-0.0022000000000000075,1.0,1.0,0.1822,0.0,0.0,0.0,0.0,0.0,0.0
0.181,0.1744,0.1843,13390.96,0.1747,2.0,4.29,-0.009599999999999997,1.0,1.0,0.1787,0.0,0.0,0.0,0.0,0.0,0.0
0.1771,0.1738,0.1747,6423.39,0.1764,2.0,4.29,0.001700000000000007,-1.0,-1.0,0.1772,0.0,0.0,0.0,0.0,0.0,0.0
0.1856,0.1769,0.1764,21285.56,0.1828,2.0,4.29,0.006399999999999989,-1.0,1.0,0.1802,0.0,0.0,0.0,0.0,0.0,0.0
0.1824,0.1769,0.1828,10940.06,0.1776,2.0,4.29,-0.005199999999999982,-1.0,-1.0,0.1804,0.0,0.0,0.0,0.0,0.0,0.0
0.1807,0.1779,0.1776,5529.37,0.1797,2.0,4.29,0.0020999999999999908,-1.0,-1.0,0.1807,0.0,0.0,0.0,0.0,0.0,0.0
0.1805,0.1789,0.1797,4269.2,0.1794,2.0,4.29,-0.0002999999999999947,-1.0,-1.0,0.1777,0.0,0.0,0.0,0.0,0.0,0.0
0.1828,0.1797,0.1794,9982.35,0.1816,2.0,4.29,0.0022000000000000075,1.0,1.0,0.1801,0.0,0.0,0.0,0.0,0.0,0.0
0.1822,0.1781,0.1816,5961.92,0.1822,2.0,4.29,0.0005999999999999894,1.0,1.0,0.1799,2.0,0.0,1.0,0.0,0.0,0.0
0.1823,0.1771,0.1822,6392.83,0.1787,2.0,4.29,-0.003500000000000003,-1.0,1.0,0.1785,0.0,0.0,0.0,0.0,0.0,0.0
0.179,0.1765,0.1787,11370.1,0.1772,2.0,4.29,-0.0015000000000000013,-1.0,-1.0,0.1763,0.0,0.0,0.0,0.0,0.0,0.0
