high,low,open,volumeto,close,sentiment,rank_score,realbody,trend1,trend2,close_forward,MorningStar,MorningStar_good,MorningStar_bad,EveningStar,EveningStar_good,EveningStar_bad
0.5296,0.5206,0.516,19719.23,0.5239,0.0,2.96,0.007900000000000018,,,0.5317,,,,,,
0.5251,0.5123,0.5239,24996.21,0.5211,0.0,2.96,-0.0028000000000000247,,,0.5297,,,,,,
0.5232,0.5158,0.5211,13490.12,0.5197,0.0,2.96,-0.0013999999999999568,,,0.5294,,,,,,
0.523,0.5186,0.5197,5566.41,0.5199,0.0,2.96,0.00019999999999997797,,,0.5395,0.0,0.0,0.0,0.0,0.0,0.0
0.5191,0.5126,0.5199,10128.76,0.5156,1.0,2.71,-0.0043000000000000815,,,0.5364,0.0,0.0,0.0,0.0,0.0,0.0
0.519,0.5084,0.5156,18170.07,0.5111,1.0,2.71,-0.0044999999999999485,,,0.5327,0.0,0.0,0.0,0.0,0.0,0.0
0.5143,0.5105,0.5111,6682.62,0.5123,1.0,2.71,0.0011999999999999789,-1.0,,0.5328,0.0,0.0,0.0,0.0,0.0,0.0
0.5147,0.5128,0.5123,3352.61,0.5141,1.0,2.71,0.0018000000000000238,-1.0,-1.0,0.5332,0.0,0.0,0.0,0.0,0.0,0.0
0.5386,0.5187,0.5141,25496.18,0.5317,1.0,2.71,0.01759999999999995,1.0,1.0,0.5377,0.0,0.0,0.0,0.0,0.0,0.0
0.5317,0.527,0.5317,2494.02,0.5297,1.0,2.71,-0.0020000000000000018,1.0,1.0,0.5439,0.0,0.0,0.0,0.0,0.0,0.0
0.5342,0.5294,0.5297,6989.21,0.5294,1.0,2.71,-0.00029999999999996696,1.0,1.0,0.545,0.0,0.0,0.0,0.0,0.0,0.0
0.5416,0.5271,0.5294,19299.55,0.5395,1.0,2.71,0.010099999999999998,1.0,1.0,0.549,0.0,0.0,0.0,0.0,0.0,0.0
0.5433,0.533,0.5395,22436.69,0.5364,1.0,2.71,-0.0030999999999999917,1.0,1.0,0.5391,0.0,0.0,0.0,0.0,0.0,0.0
0.5464,0.5249,0.5364,54930.89,0.5327,1.0,2.71,-0.0037000000000000366,1.0,1.0,0.546,0.0,0.0,0.0,0.0,0.0,0.0
0.5376,0.5306,0.5327,34477.25,0.5328,1.0,2.71,0.00010000000000010001,1.0,1.0,0.5466,0.0,0.0,0.0,0.0,0.0,0.0
0.5345,0.5297,0.5328,14803.0,0.5332,1.0,2.71,0.00039999999999995595,1.0,1.0,0.5497,0.0,0.0,0.0,0.0,0.0,0.0
0.5397,0.5329,0.5332,6733.19,0.5377,1.0,2.71,0.0044999999999999485,1.0,1.0,0.5395,0.0,0.0,0.0,0.0,0.0,0.0
0.5458,0.5357,0.5377,28083.44,0.5439,1.0,2.71,0.006200000000000094,1.0,1.0,0.5407,0.0,0.0,0.0,0.0,0.0,0.0
0.5466,0.5417,0.5439,10939.49,0.545,1.0,2.71,0.0010999999999999899,1.0,1.0,0.5357,0.0,0.0,0.0,0.0,0.0,0.0
0.5601,0.5485,0.545,22393.56,0.549,1.0,2.71,0.0040000000000000036,1.0,1.0,0.5382,0.0,0.0,0.0,0.0,0.0,0.0
0.5491,0.5375,0.549,16362.3,0.5391,0.0,2.71,-0.00990000000000002,1.0,1.0,0.5366,0.0,0.0,0.0,2.0,0.0,1.0
0.5461,0.5391,0.5391,12964.99,0.546,0.0,2.71,0.006900000000000017,1.0,1.0,0.5497,0.0,0.0,0.0,0.0,0.0,0.0
0.5466,0.5423,0.546,16193.37,0.5466,0.0,2.71,0.0005999999999999339,1.0,1.0,0.5403,0.0,0.0,0.0,0.0,0.0,0.0
0.5552,0.546,0.5466,11216.39,0.5497,0.0,2.71,0.0030999999999999917,1.0,1.0,0.5398,0.0,0.0,0.0,0.0,0.0,0.0
0.5466,0.5348,0.5497,28855.78,0.5395,0.0,2.71,-0.010199999999999987,-1.0,-1.0,0.5366,0.0,0.0,0.0,2.0,0.0,1.0
0.5435,0.5392,0.5395,7167.7,0.5407,0.0,2.71,0.0011999999999999789,-1.0,-1.0,0.5394,0.0,0.0,0.0,0.0,0.0,0.0
0.5377,0.5349,0.5407,2985.36,0.5357,0.0,2.71,-0.0050000000000000044,-1.0,-1.0,0.5365,0.0,0.0,0.0,0.0,0.0,0.0
0.5395,0.5348,0.5357,3666.19,0.5382,0.0,2.71,0.0025000000000000577,-1.0,-1.0,0.5452,0.0,0.0,0.0,0.0,0.0,0.0
0.5395,0.535,0.5382,3076.28,0.5366,0.0,2.71,-0.0016000000000000458,-1.0,-1.0,0.5458,0.0,0.0,0.0,0.0,0.0,0.0
0.5497,0.5395,0.5366,16418.91,0.5497,0.0,2.71,0.0131,-1.0,-1.0,0.5438,0.0,0.0,0.0,0.0,0.0,0.0
0.5517,0.539,0.5497,19054.06,0.5403,0.0,2.71,-0.009399999999999964,1.0,-1.0,0.5364,0.0,0.0,0.0,0.0,0.0,0.0
0.5407,0.5366,0.5403,7329.02,0.5398,0.0,2.71,-0.000500000000000056,1.0,1.0,0.5394,0.0,0.0,0.0,0.0,0.0,0.0
0.5397,0.5349,0.5398,4883.91,0.5366,0.0,2.71,-0.0031999999999999806,1.0,1.0,0.5427,0.0,0.0,0.0,0.0,0.0,0.0
0.5404,0.5355,0.5366,19419.73,0.5394,0.0,2.71,0.0028000000000000247,-1.0,1.0,0.5404,0.0,0.0,0.0,0.0,0.0,0.0
0.5391,0.5353,0.5394,8236.18,0.5365,0.0,2.71,-0.0029000000000000137,-1.0,-1.0,0.5316,0.0,0.0,0.0,0.0,0.0,0.0
0.5473,0.5351,0.5365,11437.07,0.5452,0.0,2.71,0.008700000000000041,-1.0,-1.0,0.5297,0.0,0.0,0.0,0.0,0.0,0.0
0.5485,0.5415,0.5452,18389.84,0.5458,0.0,2.71,0.0005999999999999339,1.0,-1.0,0.5247,2.0,0.0,1.0,0.0,0.0,0.0
0.5488,0.541,0.5458,3662.63,0.5438,0.0,2.71,-0.0020000000000000018,1.0,1.0,0.5304,0.0,0.0,0.0,0.0,0.0,0.0
0.547,0.5305,0.5438,37759.41,0.5364,0.0,2.71,-0.007399999999999962,1.0,1.0,0.5322,0.0,0.0,0.0,0.0,0.0,0.0
0.54,0.5374,0.5364,10679.12,0.5394,0.0,2.71,0.0030000000000000027,-1.0,1.0,0.5542,0.0,0.0,0.0,0.0,0.0,0.0
0.546,0.5426,0.5394,9599.35,0.5427,0.0,2.71,0.0032999999999999696,-1.0,1.0,0.5593,0.0,0.0,0.0,0.0,0.0,0.0
0.5464,0.5398,0.5427,10802.25,0.5404,0.0,2.71,-0.0022999999999999687,-1.0,-1.0,0.5555,0.0,0.0,0.0,0.0,0.0,0.0
0.5397,0.5204,0.5404,85130.17,0.5316,0.0,2.71,-0.00880000000000003,-1.0,-1.0,0.5524,0.0,0.0,0.0,0.0,0.0,0.0
0.5334,0.5267,0.5316,28403.26,0.5297,0.0,2.71,-0.0019000000000000128,-1.0,-1.0,0.5526,0.0,0.0,0.0,0.0,0.0,0.0
0.5368,0.5208,0.5297,48021.18,0.5247,0.0,2.71,-0.004999999999999893,-1.0,-1.0,0.5535,0.0,0.0,0.0,0.0,0.0,0.0
0.533,0.5196,0.5247,25551.19,0.5304,0.0,2.71,0.005699999999999927,-1.0,-1.0,0.5658,0.0,0.0,0.0,0.0,0.0,0.0
0.5344,0.5259,0.5304,7504.32,0.5322,0.0,2.71,0.0018000000000000238,-1.0,-1.0,0.5703,1.0,1.0,0.0,0.0,0.0,0.0
0.5633,0.5316,0.5322,62550.9,0.5542,0.0,2.71,0.02200000000000002,1.0,1.0,0.569,0.0,0.0,0.0,0.0,0.0,0.0
0.5704,0.5578,0.5542,59529.62,0.5593,0.0,2.71,0.005099999999999993,1.0,1.0,0.5695,0.0,0.0,0.0,0.0,0.0,0.0
0.5682,0.5545,0.5593,36526.23,0.5555,0.0,2.71,-0.0038000000000000256,1.0,1.0,0.5781,0.0,0.0,0.0,0.0,0.0,0.0
0.5609,0.5501,0.5555,23316.04,0.5524,0.0,2.71,-0.0030999999999999917,1.0,1.0,0.5737,0.0,0.0,0.0,0.0,0.0,0.0
0.5545,0.5502,0.5524,11892.2,0.5526,0.0,2.71,0.00019999999999997797,1.0,1.0,0.5697,0.0,0.0,0.0,0.0,0.0,0.0
0.554,0.55,0.5526,2332.66,0.5535,0.0,2.71,0.0009000000000000119,1.0,1.0,0.5725,0.0,0.0,0.0,0.0,0.0,0.0
0.5725,0.5519,0.5535,34496.34,0.5658,0.0,2.71,0.012299999999999978,1.0,1.0,0.5704,0.0,0.0,0.0,0.0,0.0,0.0
0.5703,0.564,0.5658,13430.37,0.5703,0.0,2.71,0.0045000000000000595,1.0,1.0,0.5653,0.0,0.0,0.0,0.0,0.0,0.0
0.574,0.5675,0.5703,11040.09,0.569,0.0,2.71,-0.0013000000000000789,1.0,1.0,0.5579,0.0,0.0,0.0,0.0,0.0,0.0
0.5719,0.5684,0.569,7047.48,0.5695,0.0,2.71,0.000500000000000056,1.0,1.0,0.5546,0.0,0.0,0.0,0.0,0.0,0.0
0.5796,0.5673,0.5695,20528.44,0.5781,0.0,2.71,0.008599999999999941,1.0,1.0,0.5551,0.0,0.0,0.0,0.0,0.0,0.0
0.587,0.5735,0.5781,13406.0,0.5737,0.0,2.71,-0.0043999999999999595,1.0,1.0,0.5595,0.0,0.0,0.0,0.0,0.0,0.0
0.578,0.5635,0.5737,20090.21,0.5697,0.0,2.71,-0.0040000000000000036,1.0,1.0,0.5643,0.0,0.0,0.0,0.0,0.0,0.0
0.5766,0.5723,0.5697,7439.79,0.5725,0.0,2.71,0.0028000000000000247,1.0,1.0,0.5662,0.0,0.0,0.0,0.0,0.0,0.0
0.5793,0.569,0.5725,12004.35,0.5704,0.0,2.71,-0.0020999999999999908,1.0,1.0,0.567,0.0,0.0,0.0,0.0,0.0,0.0
0.5819,0.5629,0.5704,30896.83,0.5653,0.0,2.71,-0.005099999999999993,-1.0,-1.0,0.5614,0.0,0.0,0.0,0.0,0.0,0.0
0.5607,0.5494,0.5653,22687.51,0.5579,0.0,2.71,-0.007400000000000073,-1.0,-1.0,0.5659,0.0,0.0,0.0,0.0,0.0,0.0
0.5597,0.5521,0.5579,13626.98,0.5546,0.0,2.71,-0.0032999999999999696,-1.0,-1.0,0.5688,0.0,0.0,0.0,0.0,0.0,0.0
