high,low,open,volumeto,close,sentiment,rank_score,realbody,trend1,trend2,close_forward,MorningStar,MorningStar_good,MorningStar_bad,EveningStar,EveningStar_good,EveningStar_bad
14.0,13.87,13.88,532014.28,13.97,0.0,2.71,0.08999999999999986,,,14.76,,,,,,
14.3,14.09,13.98,2527036.81,14.26,0.0,2.71,0.27999999999999936,,,14.69,,,,,,
14.37,14.28,14.26,1700571.76,14.34,1.5,2.73,0.08000000000000007,,,14.75,,,,,,
14.48,14.37,14.34,2466647.53,14.46,0.0,4.74,0.120000000000001,,,14.47,0.0,0.0,0.0,0.0,0.0,0.0
14.64,14.54,14.46,1460603.22,14.56,0.0,4.74,0.09999999999999964,,,14.3,0.0,0.0,0.0,0.0,0.0,0.0
14.92,14.72,14.56,3173146.77,14.84,2.0,4.29,0.27999999999999936,,,13.9,0.0,0.0,0.0,0.0,0.0,0.0
14.81,14.6,14.84,1684276.59,14.67,2.0,4.29,-0.16999999999999993,1.0,,13.79,0.0,0.0,0.0,0.0,0.0,0.0
14.68,14.59,14.67,1240268.41,14.62,2.0,4.29,-0.05000000000000071,1.0,1.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0
14.78,14.68,14.62,1097156.11,14.76,2.0,4.29,0.14000000000000057,1.0,1.0,13.72,0.0,0.0,0.0,0.0,0.0,0.0
14.74,14.64,14.76,1189461.08,14.69,2.0,4.29,-0.07000000000000028,1.0,1.0,13.89,0.0,0.0,0.0,0.0,0.0,0.0
14.76,14.68,14.69,1060352.99,14.75,2.0,4.29,0.0600000000000005,1.0,1.0,13.87,0.0,0.0,0.0,0.0,0.0,0.0
14.61,14.44,14.75,1570591.68,14.47,2.0,4.29,-0.27999999999999936,-1.0,-1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
14.3,14.16,14.47,1195498.07,14.3,2.0,4.29,-0.16999999999999993,-1.0,-1.0,13.9,0.0,0.0,0.0,0.0,0.0,0.0
13.98,13.87,14.3,2333817.3,13.9,2.0,4.29,-0.40000000000000036,-1.0,-1.0,13.95,0.0,0.0,0.0,0.0,0.0,0.0
13.95,13.78,13.89,1325690.22,13.79,2.0,4.29,-0.10000000000000142,-1.0,-1.0,13.84,0.0,0.0,0.0,0.0,0.0,0.0
13.92,13.79,13.79,1608943.29,13.8,2.0,4.29,0.010000000000001563,-1.0,-1.0,14.64,0.0,0.0,0.0,0.0,0.0,0.0
13.74,13.64,13.8,1285745.87,13.72,2.0,4.29,-0.08000000000000007,-1.0,-1.0,14.77,0.0,0.0,0.0,0.0,0.0,0.0
13.91,13.76,13.72,1648611.23,13.89,2.0,4.29,0.16999999999999993,-1.0,-1.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0
13.88,13.82,13.89,1382444.76,13.87,2.0,4.29,-0.02000000000000135,-1.0,-1.0,14.16,0.0,0.0,0.0,0.0,0.0,0.0
14.03,13.9,13.87,1354844.73,14.0,2.0,4.29,0.13000000000000078,1.0,-1.0,14.47,0.0,0.0,0.0,0.0,0.0,0.0
13.93,13.87,14.0,1327808.93,13.9,2.0,4.29,-0.09999999999999964,1.0,1.0,14.7,0.0,0.0,0.0,0.0,0.0,0.0
13.96,13.86,13.9,1501023.31,13.95,2.0,4.29,0.049999999999998934,1.0,1.0,14.65,0.0,0.0,0.0,0.0,0.0,0.0
13.87,13.79,13.95,1581948.56,13.84,2.0,4.29,-0.10999999999999943,1.0,1.0,14.66,0.0,0.0,0.0,0.0,0.0,0.0
14.72,14.05,13.84,2781439.72,14.64,2.0,4.29,0.8000000000000007,1.0,1.0,14.71,0.0,0.0,0.0,0.0,0.0,0.0
15.04,14.75,14.64,2113645.73,14.77,2.0,4.29,0.129999999999999,1.0,1.0,14.8,0.0,0.0,0.0,0.0,0.0,0.0
14.6,14.42,14.77,1841863.97,14.5,2.0,4.29,-0.2699999999999996,1.0,1.0,14.88,0.0,0.0,0.0,0.0,0.0,0.0
14.33,14.16,14.5,1933966.5,14.16,2.0,4.29,-0.33999999999999986,1.0,1.0,14.84,0.0,0.0,0.0,0.0,0.0,0.0
14.48,14.32,14.16,2120988.72,14.47,2.0,4.29,0.3100000000000005,1.0,1.0,14.98,0.0,0.0,0.0,0.0,0.0,0.0
14.72,14.52,14.47,2205597.21,14.7,2.0,4.29,0.22999999999999865,1.0,1.0,15.06,0.0,0.0,0.0,0.0,0.0,0.0
14.73,14.63,14.7,1761787.28,14.65,2.0,4.29,-0.049999999999998934,-1.0,1.0,14.95,0.0,0.0,0.0,0.0,0.0,0.0
14.68,14.59,14.65,1789328.56,14.66,2.0,4.29,0.009999999999999787,1.0,1.0,15.27,0.0,0.0,0.0,0.0,0.0,0.0
14.74,14.65,14.66,1841337.96,14.71,2.0,4.29,0.05000000000000071,1.0,1.0,15.29,0.0,0.0,0.0,0.0,0.0,0.0
14.85,14.75,14.71,1682915.52,14.8,2.0,4.29,0.08999999999999986,1.0,1.0,15.49,0.0,0.0,0.0,0.0,0.0,0.0
14.96,14.87,14.8,1619557.7,14.88,2.0,4.29,0.08000000000000007,1.0,1.0,15.41,0.0,0.0,0.0,0.0,0.0,0.0
14.93,14.7,14.88,1563381.29,14.84,2.0,4.29,-0.040000000000000924,1.0,1.0,15.39,0.0,0.0,0.0,0.0,0.0,0.0
15.02,14.87,14.84,1775137.97,14.98,2.0,4.29,0.14000000000000057,1.0,1.0,15.48,0.0,0.0,0.0,0.0,0.0,0.0
15.09,14.79,14.98,1908024.65,15.06,2.0,4.29,0.08000000000000007,1.0,1.0,15.31,0.0,0.0,0.0,0.0,0.0,0.0
15.04,14.87,15.06,1612823.58,14.95,2.0,4.29,-0.11000000000000121,1.0,1.0,15.48,0.0,0.0,0.0,2.0,0.0,1.0
15.28,14.97,14.95,2094826.11,15.27,2.0,4.29,0.3200000000000003,1.0,1.0,15.55,0.0,0.0,0.0,0.0,0.0,0.0
