high,low,open,volumeto,close,sentiment,rank_score,realbody,trend1,trend2,close_forward,MorningStar,MorningStar_good,MorningStar_bad,EveningStar,EveningStar_good,EveningStar_bad
6896.96,6856.86,6857.35,4524636.78,6871.61,0.0,2.71,14.259999999999309,,,7137.2,,,,,,
6946.87,6868.86,6871.61,12171483.32,6921.5,0.0,2.71,49.89000000000033,,,7125.4,,,,,,
6940.04,6907.49,6921.5,7026273.64,6929.44,1.5,2.73,7.9399999999996,,,7131.1,,,,,,
7033.23,6929.4,6929.44,31501596.44,6990.2,0.0,4.74,60.76000000000022,,,7042.95,0.0,0.0,0.0,0.0,0.0,0.0
7044.59,6990.2,6990.2,18109236.53,7034.9,0.0,4.74,44.69999999999982,,,6913.76,0.0,0.0,0.0,0.0,0.0,0.0
7160.65,7034.79,7034.9,38109936.0,7160.65,2.0,4.29,125.75,,,6733.1,0.0,0.0,0.0,0.0,0.0,0.0
7199.97,7087.57,7160.65,32870160.65,7120.65,2.0,4.29,-40.0,1.0,,6698.87,0.0,0.0,0.0,0.0,0.0,0.0
7140.79,7098.97,7120.65,13739780.04,7126.94,2.0,4.29,6.289999999999964,1.0,1.0,6730.77,0.0,0.0,0.0,0.0,0.0,0.0
7171.11,7123.01,7126.94,11699967.48,7137.2,2.0,4.29,10.260000000000218,1.0,1.0,6691.96,0.0,0.0,0.0,0.0,0.0,0.0
7173.09,7105.75,7137.2,13392156.58,7125.4,2.0,4.29,-11.800000000000182,1.0,1.0,6704.02,0.0,0.0,0.0,1.0,1.0,0.0
7140.31,7093.15,7125.4,9538511.96,7131.1,2.0,4.29,5.700000000000728,1.0,1.0,6708.54,0.0,0.0,0.0,0.0,0.0,0.0
7151.15,6985.06,7131.1,30728485.89,7042.95,2.0,4.29,-88.15000000000055,-1.0,-1.0,6749.04,0.0,0.0,0.0,0.0,0.0,0.0
7054.49,6907.65,7042.95,20164960.68,6913.76,2.0,4.29,-129.1899999999996,-1.0,-1.0,6712.24,0.0,0.0,0.0,0.0,0.0,0.0
6913.76,6612.34,6913.76,78461649.55,6733.1,2.0,4.29,-180.65999999999985,-1.0,-1.0,6717.98,0.0,0.0,0.0,0.0,0.0,0.0
6741.92,6668.11,6733.1,21750953.22,6698.87,2.0,4.29,-34.23000000000047,-1.0,-1.0,6697.4,0.0,0.0,0.0,0.0,0.0,0.0
6733.74,6672.45,6698.87,16449500.65,6730.77,2.0,4.29,31.900000000000546,-1.0,-1.0,6735.48,0.0,0.0,0.0,0.0,0.0,0.0
6731.01,6686.91,6730.77,7188910.75,6691.96,2.0,4.29,-38.8100000000004,-1.0,-1.0,6804.04,0.0,0.0,0.0,0.0,0.0,0.0
6721.05,6660.41,6691.96,12713228.92,6704.02,2.0,4.29,12.0600000000004,-1.0,-1.0,6701.83,0.0,0.0,0.0,0.0,0.0,0.0
6725.85,6698.21,6704.02,5743615.1,6708.54,2.0,4.29,4.519999999999527,-1.0,-1.0,6629.9,2.0,0.0,1.0,0.0,0.0,0.0
6749.18,6700.79,6708.54,7498386.4,6749.04,2.0,4.29,40.5,1.0,-1.0,6733.84,0.0,0.0,0.0,0.0,0.0,0.0
6750.91,6696.83,6749.04,9834531.59,6712.24,2.0,4.29,-36.80000000000018,1.0,1.0,6781.35,0.0,0.0,0.0,0.0,0.0,0.0
6734.96,6701.16,6712.24,7235822.03,6717.98,2.0,4.29,5.739999999999782,1.0,1.0,6767.66,0.0,0.0,0.0,0.0,0.0,0.0
6720.14,6675.31,6717.98,9515555.61,6697.4,2.0,4.29,-20.579999999999927,1.0,-1.0,6767.96,0.0,0.0,0.0,0.0,0.0,0.0
6736.21,6696.67,6697.4,6793259.98,6735.48,2.0,4.29,38.07999999999993,1.0,1.0,6765.91,0.0,0.0,0.0,0.0,0.0,0.0
6841.05,6716.12,6735.48,25211893.95,6804.04,2.0,4.29,68.5600000000004,1.0,1.0,6792.75,0.0,0.0,0.0,0.0,0.0,0.0
6804.04,6682.81,6804.04,23261108.64,6701.83,2.0,4.29,-102.21000000000004,1.0,1.0,6830.37,0.0,0.0,0.0,2.0,0.0,1.0
6734.6,6629.15,6701.83,26244275.52,6629.9,2.0,4.29,-71.93000000000029,-1.0,-1.0,6845.05,0.0,0.0,0.0,0.0,0.0,0.0
6769.73,6626.91,6629.9,25580423.22,6733.84,2.0,4.29,103.94000000000051,-1.0,-1.0,6891.96,0.0,0.0,0.0,0.0,0.0,0.0
6813.34,6715.04,6733.84,20444051.1,6781.35,2.0,4.29,47.51000000000022,1.0,1.0,6859.43,0.0,0.0,0.0,0.0,0.0,0.0
6816.44,6750.12,6781.35,16602478.21,6767.66,2.0,4.29,-13.69000000000051,1.0,1.0,6848.68,0.0,0.0,0.0,0.0,0.0,0.0
6795.3,6757.31,6767.66,8667352.59,6767.96,2.0,4.29,0.3000000000001819,1.0,1.0,6865.55,0.0,0.0,0.0,0.0,0.0,0.0
6796.0,6764.54,6767.96,10321730.45,6765.91,2.0,4.29,-2.050000000000182,1.0,1.0,6866.72,0.0,0.0,0.0,0.0,0.0,0.0
6822.64,6765.86,6765.91,12617061.74,6792.75,2.0,4.29,26.840000000000146,1.0,1.0,6899.38,0.0,0.0,0.0,0.0,0.0,0.0
6837.51,6791.3,6792.75,18673828.31,6830.37,2.0,4.29,37.61999999999989,1.0,1.0,6901.32,0.0,0.0,0.0,0.0,0.0,0.0
6897.95,6822.1,6830.37,20322271.27,6845.05,2.0,4.29,14.680000000000291,1.0,1.0,6899.46,0.0,0.0,0.0,0.0,0.0,0.0
6896.27,6826.18,6845.05,15660316.63,6891.96,2.0,4.29,46.909999999999854,1.0,1.0,6883.24,0.0,0.0,0.0,0.0,0.0,0.0
6903.24,6839.38,6891.96,19666688.75,6859.43,2.0,4.29,-32.529999999999745,1.0,1.0,6833.51,0.0,0.0,0.0,0.0,0.0,0.0
6894.3,6830.75,6859.43,11406113.59,6848.68,2.0,4.29,-10.75,1.0,1.0,6795.58,0.0,0.0,0.0,0.0,0.0,0.0
6869.54,6824.04,6848.68,9185438.85,6865.55,2.0,4.29,16.86999999999989,1.0,1.0,6862.22,0.0,0.0,0.0,0.0,0.0,0.0
6884.86,6864.05,6865.55,6948099.87,6866.72,2.0,4.29,1.1700000000000728,1.0,1.0,6844.44,0.0,0.0,0.0,0.0,0.0,0.0
6917.85,6852.85,6866.72,12994290.75,6899.38,2.0,4.29,32.659999999999854,1.0,1.0,6846.21,0.0,0.0,0.0,0.0,0.0,0.0
6931.73,6894.52,6899.38,14794814.87,6901.32,2.0,4.29,1.9399999999995998,1.0,1.0,6857.05,0.0,0.0,0.0,0.0,0.0,0.0
6912.86,6884.43,6901.32,7653811.52,6899.46,2.0,4.29,-1.8599999999996726,1.0,1.0,6906.55,0.0,0.0,0.0,0.0,0.0,0.0
6899.47,6871.78,6899.46,5816211.17,6883.24,2.0,4.29,-16.220000000000255,1.0,1.0,6905.64,0.0,0.0,0.0,0.0,0.0,0.0
6905.94,6829.72,6883.24,14710462.08,6833.51,2.0,4.29,-49.72999999999956,-1.0,1.0,6920.4,0.0,0.0,0.0,0.0,0.0,0.0
6833.51,6773.97,6833.51,22470433.02,6795.58,2.0,4.29,-37.93000000000029,-1.0,-1.0,6964.54,0.0,0.0,0.0,0.0,0.0,0.0
6866.26,6780.19,6795.58,13176531.28,6862.22,2.0,4.29,66.64000000000033,-1.0,-1.0,6930.29,0.0,0.0,0.0,0.0,0.0,0.0
6891.72,6843.99,6862.22,14340300.04,6844.44,2.0,4.29,-17.780000000000655,-1.0,-1.0,6919.52,0.0,0.0,0.0,0.0,0.0,0.0
6881.32,6832.81,6844.44,9330404.76,6846.21,2.0,4.29,1.7700000000004366,-1.0,-1.0,6929.37,0.0,0.0,0.0,0.0,0.0,0.0
6860.33,6820.53,6846.21,11362664.02,6857.05,2.0,4.29,10.840000000000146,-1.0,-1.0,6874.96,2.0,0.0,1.0,0.0,0.0,0.0
