high,low,open,volumeto,close,sentiment,rank_score,realbody,trend1,trend2,close_forward,MorningStar,MorningStar_good,MorningStar_bad,EveningStar,EveningStar_good,EveningStar_bad
0.003285,0.003266,0.003258,4889.75,0.003266,0.0,2.71,7.99999999999976e-06,,,0.003555,,,,,,
0.003307,0.003288,0.003266,5469.41,0.003307,0.0,2.71,4.100000000000024e-05,,,0.003439,,,,,,
0.003319,0.003299,0.003307,6132.25,0.003305,1.5,2.73,-1.9999999999998318e-06,,,0.003443,,,,,,
0.003331,0.003308,0.003305,5382.8,0.003325,0.0,4.74,1.999999999999962e-05,,,0.0034,0.0,0.0,0.0,0.0,0.0,0.0
0.003393,0.00334,0.003325,6207.71,0.003367,0.0,4.74,4.200000000000037e-05,,,0.003331,0.0,0.0,0.0,0.0,0.0,0.0
0.003561,0.003401,0.003367,5751.0,0.003561,2.0,4.29,0.00019399999999999973,,,0.003218,0.0,0.0,0.0,0.0,0.0,0.0
0.003556,0.003505,0.003561,6186.7,0.003544,2.0,4.29,-1.7000000000000088e-05,1.0,,0.003212,0.0,0.0,0.0,0.0,0.0,0.0
0.003546,0.003437,0.003544,6619.01,0.003499,2.0,4.29,-4.49999999999999e-05,1.0,1.0,0.003225,0.0,0.0,0.0,0.0,0.0,0.0
0.003573,0.003483,0.003499,6354.49,0.003555,2.0,4.29,5.600000000000006e-05,1.0,1.0,0.003192,0.0,0.0,0.0,0.0,0.0,0.0
0.003593,0.003428,0.003555,5920.11,0.003439,2.0,4.29,-0.00011599999999999978,1.0,1.0,0.003194,0.0,0.0,0.0,0.0,0.0,0.0
0.00345,0.003429,0.003439,6186.02,0.003443,2.0,4.29,3.9999999999996635e-06,-1.0,1.0,0.003206,0.0,0.0,0.0,0.0,0.0,0.0
0.003413,0.003384,0.003443,5564.07,0.0034,2.0,4.29,-4.300000000000007e-05,-1.0,-1.0,0.003226,0.0,0.0,0.0,0.0,0.0,0.0
0.003348,0.003313,0.0034,5877.87,0.003331,2.0,4.29,-6.899999999999962e-05,-1.0,-1.0,0.003217,0.0,0.0,0.0,0.0,0.0,0.0
0.003223,0.003213,0.003331,4932.47,0.003218,2.0,4.29,-0.00011300000000000025,-1.0,-1.0,0.003189,0.0,0.0,0.0,0.0,0.0,0.0
0.003227,0.003211,0.003218,9411.56,0.003212,2.0,4.29,-5.999999999999929e-06,-1.0,-1.0,0.003167,0.0,0.0,0.0,0.0,0.0,0.0
0.003242,0.003225,0.003212,5573.02,0.003225,2.0,4.29,1.299999999999999e-05,-1.0,-1.0,0.003215,0.0,0.0,0.0,0.0,0.0,0.0
0.003201,0.003192,0.003225,5735.2,0.003192,2.0,4.29,-3.300000000000004e-05,-1.0,-1.0,0.003258,0.0,0.0,0.0,0.0,0.0,0.0
0.003211,0.00314,0.003192,5673.89,0.003194,2.0,4.29,1.9999999999998318e-06,-1.0,-1.0,0.003227,0.0,0.0,0.0,0.0,0.0,0.0
0.003255,0.003121,0.003194,5691.92,0.003206,2.0,4.29,1.2000000000000292e-05,-1.0,-1.0,0.003173,2.0,0.0,1.0,0.0,0.0,0.0
0.003294,0.003208,0.003206,5323.83,0.003226,2.0,4.29,2.0000000000000052e-05,-1.0,-1.0,0.00315,0.0,0.0,0.0,0.0,0.0,0.0
0.00324,0.003181,0.003226,5403.83,0.003217,2.0,4.29,-9.000000000000327e-06,1.0,1.0,0.003164,0.0,0.0,0.0,0.0,0.0,0.0
0.003245,0.003146,0.003217,5415.24,0.003189,2.0,4.29,-2.7999999999999813e-05,-1.0,-1.0,0.003154,0.0,0.0,0.0,0.0,0.0,0.0
0.00317,0.003101,0.003189,5163.52,0.003167,2.0,4.29,-2.1999999999999884e-05,-1.0,-1.0,0.003154,0.0,0.0,0.0,0.0,0.0,0.0
0.003243,0.003206,0.003167,6314.01,0.003215,2.0,4.29,4.7999999999999866e-05,-1.0,-1.0,0.003159,0.0,0.0,0.0,0.0,0.0,0.0
0.003272,0.003253,0.003215,5361.56,0.003258,2.0,4.29,4.300000000000007e-05,1.0,1.0,0.003178,2.0,0.0,1.0,0.0,0.0,0.0
0.003258,0.003204,0.003258,5521.42,0.003227,2.0,4.29,-3.100000000000021e-05,1.0,1.0,0.003203,0.0,0.0,0.0,0.0,0.0,0.0
0.003189,0.003149,0.003227,5454.67,0.003173,2.0,4.29,-5.3999999999999795e-05,1.0,-1.0,0.003207,0.0,0.0,0.0,0.0,0.0,0.0
0.003212,0.003144,0.003173,4835.52,0.00315,2.0,4.29,-2.3000000000000017e-05,-1.0,-1.0,0.003233,0.0,0.0,0.0,0.0,0.0,0.0
0.003169,0.003127,0.00315,292.0,0.003164,2.0,4.29,1.4000000000000123e-05,-1.0,-1.0,0.003207,0.0,0.0,0.0,0.0,0.0,0.0
0.003162,0.003151,0.003164,4682.12,0.003154,2.0,4.29,-1.0000000000000026e-05,-1.0,-1.0,0.003201,0.0,0.0,0.0,0.0,0.0,0.0
0.003162,0.003151,0.003154,5556.18,0.003154,2.0,4.29,0.0,-1.0,-1.0,0.003244,0.0,0.0,0.0,0.0,0.0,0.0
0.003165,0.003153,0.003154,6020.23,0.003159,2.0,4.29,4.999999999999796e-06,-1.0,-1.0,0.003245,0.0,0.0,0.0,0.0,0.0,0.0
0.003187,0.003175,0.003159,5257.09,0.003178,2.0,4.29,1.899999999999992e-05,1.0,-1.0,0.003173,0.0,0.0,0.0,0.0,0.0,0.0
0.003217,0.003196,0.003178,6040.36,0.003203,2.0,4.29,2.5000000000000282e-05,1.0,1.0,0.003241,0.0,0.0,0.0,0.0,0.0,0.0
0.003218,0.003203,0.003203,5832.55,0.003207,2.0,4.29,4.000000000000097e-06,1.0,1.0,0.003232,0.0,0.0,0.0,0.0,0.0,0.0
0.00324,0.003232,0.003207,5458.34,0.003233,2.0,4.29,2.599999999999998e-05,1.0,1.0,0.003268,0.0,0.0,0.0,0.0,0.0,0.0
0.003212,0.003202,0.003233,5597.65,0.003207,2.0,4.29,-2.599999999999998e-05,1.0,1.0,0.003224,0.0,0.0,0.0,0.0,0.0,0.0
0.003201,0.003195,0.003207,5387.11,0.003201,2.0,4.29,-6.000000000000363e-06,1.0,1.0,0.003199,0.0,0.0,0.0,0.0,0.0,0.0
0.003324,0.003217,0.003201,5475.97,0.003244,2.0,4.29,4.300000000000007e-05,1.0,1.0,0.00325,0.0,0.0,0.0,0.0,0.0,0.0
0.003253,0.003209,0.003244,5735.72,0.003245,2.0,4.29,1.0000000000001327e-06,1.0,1.0,0.003243,0.0,0.0,0.0,0.0,0.0,0.0
0.003288,0.003173,0.003245,5313.88,0.003173,2.0,4.29,-7.200000000000002e-05,-1.0,1.0,0.003303,0.0,0.0,0.0,2.0,0.0,1.0
0.003252,0.003175,0.003173,5642.71,0.003241,2.0,4.29,6.799999999999992e-05,-1.0,1.0,0.003291,0.0,0.0,0.0,0.0,0.0,0.0
0.00325,0.003218,0.003241,5899.44,0.003232,2.0,4.29,-8.999999999999894e-06,1.0,1.0,0.00334,0.0,0.0,0.0,0.0,0.0,0.0
0.003339,0.003214,0.003232,5815.8,0.003268,2.0,4.29,3.600000000000001e-05,1.0,1.0,0.003342,0.0,0.0,0.0,0.0,0.0,0.0
0.00327,0.003196,0.003268,5461.56,0.003224,2.0,4.29,-4.40000000000002e-05,1.0,1.0,0.003289,0.0,0.0,0.0,0.0,0.0,0.0
0.003296,0.003192,0.003224,5393.19,0.003199,2.0,4.29,-2.499999999999985e-05,-1.0,-1.0,0.003321,0.0,0.0,0.0,0.0,0.0,0.0
0.003272,0.003231,0.003199,5722.47,0.00325,2.0,4.29,5.099999999999983e-05,1.0,1.0,0.003292,0.0,0.0,0.0,0.0,0.0,0.0
0.00334,0.003208,0.00325,5677.52,0.003243,2.0,4.29,-7.000000000000062e-06,-1.0,1.0,0.003301,0.0,0.0,0.0,0.0,0.0,0.0
0.003326,0.003235,0.003243,5770.3,0.003303,2.0,4.29,6.000000000000016e-05,1.0,1.0,0.003272,0.0,0.0,0.0,0.0,0.0,0.0
0.00334,0.003277,0.003303,5439.92,0.003291,2.0,4.29,-1.1999999999999858e-05,1.0,1.0,0.003274,0.0,0.0,0.0,0.0,0.0,0.0
0.003378,0.003287,0.003291,5367.12,0.00334,2.0,4.29,4.9e-05,1.0,1.0,0.00327,0.0,0.0,0.0,0.0,0.0,0.0
0.003376,0.003318,0.00334,5197.75,0.003342,2.0,4.29,1.9999999999998318e-06,1.0,1.0,0.003266,0.0,0.0,0.0,0.0,0.0,0.0
0.003393,0.003287,0.003342,5925.84,0.003289,2.0,4.29,-5.3000000000000096e-05,1.0,1.0,0.003239,0.0,0.0,0.0,1.0,1.0,0.0
0.003355,0.003309,0.003289,5556.25,0.003321,2.0,4.29,3.2000000000000344e-05,1.0,1.0,0.003201,0.0,0.0,0.0,0.0,0.0,0.0
0.003319,0.00328,0.003321,5693.7,0.003292,2.0,4.29,-2.900000000000038e-05,-1.0,1.0,0.003243,0.0,0.0,0.0,0.0,0.0,0.0
0.003336,0.003298,0.003292,5851.92,0.003301,2.0,4.29,9.000000000000327e-06,-1.0,-1.0,0.003256,0.0,0.0,0.0,0.0,0.0,0.0
0.003311,0.003258,0.003301,5940.51,0.003272,2.0,4.29,-2.8999999999999946e-05,-1.0,-1.0,0.003265,0.0,0.0,0.0,0.0,0.0,0.0
0.003302,0.003248,0.003272,5490.12,0.003274,2.0,4.29,1.9999999999998318e-06,-1.0,-1.0,0.003252,0.0,0.0,0.0,0.0,0.0,0.0
0.003292,0.003252,0.003274,5546.0,0.00327,2.0,4.29,-4.000000000000097e-06,-1.0,-1.0,0.003257,0.0,0.0,0.0,0.0,0.0,0.0
0.00331,0.003261,0.00327,5722.7,0.003266,2.0,4.29,-4.000000000000097e-06,-1.0,-1.0,0.003245,0.0,0.0,0.0,0.0,0.0,0.0
0.003251,0.003226,0.003266,5182.63,0.003239,2.0,4.29,-2.699999999999968e-05,-1.0,-1.0,0.003239,0.0,0.0,0.0,0.0,0.0,0.0
0.00322,0.003201,0.003239,5603.29,0.003201,2.0,4.29,-3.800000000000027e-05,-1.0,-1.0,0.003234,0.0,0.0,0.0,0.0,0.0,0.0
0.003257,0.003238,0.003201,5543.19,0.003243,2.0,4.29,4.199999999999994e-05,-1.0,-1.0,0.003235,0.0,0.0,0.0,0.0,0.0,0.0
0.003282,0.003256,0.003243,5120.6,0.003256,2.0,4.29,1.3000000000000424e-05,-1.0,-1.0,0.003193,2.0,0.0,1.0,0.0,0.0,0.0
0.00328,0.003212,0.003256,4727.08,0.003265,2.0,4.29,8.999999999999894e-06,-1.0,-1.0,0.003179,0.0,0.0,0.0,0.0,0.0,0.0
0.003268,0.003239,0.003265,5620.43,0.003252,2.0,4.29,-1.299999999999999e-05,1.0,-1.0,0.003081,0.0,0.0,0.0,0.0,0.0,0.0
0.003282,0.003257,0.003252,5444.16,0.003257,2.0,4.29,4.999999999999796e-06,1.0,1.0,0.003036,0.0,0.0,0.0,0.0,0.0,0.0
0.003272,0.003242,0.003257,5652.63,0.003245,2.0,4.29,-1.1999999999999858e-05,1.0,1.0,0.003071,0.0,0.0,0.0,0.0,0.0,0.0
0.003258,0.003236,0.003245,5258.53,0.003239,2.0,4.29,-5.999999999999929e-06,-1.0,1.0,0.003077,0.0,0.0,0.0,0.0,0.0,0.0
0.003245,0.003215,0.003239,5680.55,0.003234,2.0,4.29,-5.00000000000023e-06,-1.0,-1.0,0.003094,0.0,0.0,0.0,0.0,0.0,0.0
0.003252,0.003221,0.003234,5638.61,0.003235,2.0,4.29,1.0000000000001327e-06,-1.0,-1.0,0.003042,0.0,0.0,0.0,0.0,0.0,0.0
0.003246,0.003169,0.003235,5623.54,0.003193,2.0,4.29,-4.199999999999994e-05,-1.0,-1.0,0.003067,0.0,0.0,0.0,0.0,0.0,0.0
0.0032,0.003136,0.003193,5369.67,0.003179,2.0,4.29,-1.4000000000000123e-05,-1.0,-1.0,0.003084,0.0,0.0,0.0,0.0,0.0,0.0
0.003162,0.003081,0.003179,5334.74,0.003081,2.0,4.29,-9.8e-05,-1.0,-1.0,0.00304,0.0,0.0,0.0,0.0,0.0,0.0
0.003124,0.003027,0.003081,5613.69,0.003036,2.0,4.29,-4.49999999999999e-05,-1.0,-1.0,0.003102,0.0,0.0,0.0,0.0,0.0,0.0
0.003126,0.003037,0.003036,3979.32,0.003071,2.0,4.29,3.4999999999999875e-05,-1.0,-1.0,0.003023,0.0,0.0,0.0,0.0,0.0,0.0
0.003083,0.003032,0.003071,2096.42,0.003077,2.0,4.29,5.999999999999929e-06,-1.0,-1.0,0.003019,2.0,0.0,1.0,0.0,0.0,0.0
0.003098,0.003094,0.003077,204.66,0.003094,2.0,4.29,1.7000000000000088e-05,-1.0,-1.0,0.002895,0.0,0.0,0.0,0.0,0.0,0.0
0.00311,0.003042,0.0031,16228.27,0.003042,2.0,4.29,-5.799999999999989e-05,-1.0,-1.0,0.002985,0.0,0.0,0.0,0.0,0.0,0.0
0.00311,0.003067,0.003105,1.687,0.003067,2.0,4.29,-3.800000000000027e-05,-1.0,-1.0,0.002985,0.0,0.0,0.0,0.0,0.0,0.0
0.003084,0.003053,0.003067,2.828,0.003084,2.0,4.29,1.7000000000000088e-05,1.0,1.0,0.002999,0.0,0.0,0.0,0.0,0.0,0.0
0.003107,0.00304,0.003101,1479.44,0.00304,2.0,4.29,-6.0999999999999856e-05,-1.0,1.0,0.002986,0.0,0.0,0.0,0.0,0.0,0.0
0.003102,0.003034,0.00304,2032.63,0.003102,2.0,4.29,6.199999999999999e-05,1.0,1.0,0.002961,0.0,0.0,0.0,0.0,0.0,0.0
0.003059,0.003023,0.003086,68.81,0.003023,2.0,4.29,-6.300000000000012e-05,-1.0,-1.0,0.002947,0.0,0.0,0.0,0.0,0.0,0.0
0.003019,0.002904,0.003023,347.61,0.003019,2.0,4.29,-4.000000000000097e-06,-1.0,-1.0,0.003064,0.0,0.0,0.0,0.0,0.0,0.0
0.002961,0.002895,0.002983,17811.48,0.002895,2.0,4.29,-8.799999999999997e-05,-1.0,-1.0,0.00313,0.0,0.0,0.0,0.0,0.0,0.0
0.002985,0.002918,0.002895,8804.8,0.002985,2.0,4.29,8.99999999999998e-05,-1.0,-1.0,0.003147,0.0,0.0,0.0,0.0,0.0,0.0
0.003026,0.002985,0.003021,13.67,0.002985,2.0,4.29,-3.600000000000001e-05,-1.0,-1.0,0.00311,0.0,0.0,0.0,0.0,0.0,0.0
0.003065,0.002999,0.002992,18802.64,0.002999,2.0,4.29,7.000000000000062e-06,-1.0,-1.0,0.003131,0.0,0.0,0.0,0.0,0.0,0.0
0.002986,0.00292,0.002999,1545.23,0.002986,2.0,4.29,-1.299999999999999e-05,-1.0,-1.0,0.003152,0.0,0.0,0.0,0.0,0.0,0.0
