high,low,open,volumeto,close,sentiment,rank_score,realbody,trend1,trend2,close_forward,MorningStar,MorningStar_good,MorningStar_bad,EveningStar,EveningStar_good,EveningStar_bad
0.1927,0.1911,0.1916,808021.44,0.1918,0.0,2.71,0.00020000000000000573,,,0.1946,,,,,,
0.1941,0.1917,0.1918,1420662.59,0.1938,0.0,2.71,0.0020000000000000018,,,0.1944,,,,,,
0.1939,0.1929,0.1938,580816.79,0.1936,1.5,2.73,-0.00020000000000000573,,,0.194,,,,,,
0.1951,0.1935,0.1936,1360871.36,0.1938,0.0,4.74,0.00020000000000000573,,,0.1918,0.0,0.0,0.0,0.0,0.0,0.0
0.1948,0.1929,0.1938,1059861.56,0.1938,0.0,4.74,0.0,,,0.1897,0.0,0.0,0.0,0.0,0.0,0.0
0.1957,0.1938,0.1938,1654099.63,0.1957,2.0,4.29,0.0019000000000000128,,,0.1852,0.0,0.0,0.0,0.0,0.0,0.0
0.1963,0.194,0.1957,1558522.78,0.1944,2.0,4.29,-0.0013000000000000234,1.0,,0.1839,0.0,0.0,0.0,0.0,0.0,0.0
0.1947,0.1937,0.1944,931916.19,0.1939,2.0,4.29,-0.0005000000000000004,1.0,1.0,0.1837,0.0,0.0,0.0,0.0,0.0,0.0
0.196,0.1939,0.1939,688173.69,0.1946,2.0,4.29,0.0007000000000000062,1.0,1.0,0.1823,0.0,0.0,0.0,0.0,0.0,0.0
0.1954,0.1942,0.1946,1137730.96,0.1944,2.0,4.29,-0.00020000000000000573,1.0,1.0,0.1838,0.0,0.0,0.0,0.0,0.0,0.0
0.1948,0.1934,0.1944,608469.09,0.194,2.0,4.29,-0.0003999999999999837,-1.0,1.0,0.1836,0.0,0.0,0.0,0.0,0.0,0.0
0.1947,0.1905,0.194,2253444.03,0.1918,2.0,4.29,-0.0022000000000000075,-1.0,-1.0,0.1849,0.0,0.0,0.0,0.0,0.0,0.0
0.1926,0.1894,0.1918,1358294.6,0.1897,2.0,4.29,-0.0020999999999999908,-1.0,-1.0,0.1834,0.0,0.0,0.0,0.0,0.0,0.0
0.1897,0.1813,0.1897,6104658.72,0.1852,2.0,4.29,-0.004500000000000004,-1.0,-1.0,0.1834,0.0,0.0,0.0,0.0,0.0,0.0
0.1852,0.1827,0.1852,1166138.93,0.1839,2.0,4.29,-0.0012999999999999956,-1.0,-1.0,0.1817,0.0,0.0,0.0,0.0,0.0,0.0
0.1843,0.1827,0.1839,1302503.45,0.1837,2.0,4.29,-0.00020000000000000573,-1.0,-1.0,0.1845,0.0,0.0,0.0,0.0,0.0,0.0
0.1837,0.182,0.1837,639609.43,0.1823,2.0,4.29,-0.0014000000000000123,-1.0,-1.0,0.1854,0.0,0.0,0.0,0.0,0.0,0.0
0.1844,0.1811,0.1823,842400.49,0.1838,2.0,4.29,0.0015000000000000013,-1.0,-1.0,0.1829,0.0,0.0,0.0,0.0,0.0,0.0
0.1842,0.183,0.1838,876916.22,0.1836,2.0,4.29,-0.00019999999999997797,-1.0,-1.0,0.1818,0.0,0.0,0.0,0.0,0.0,0.0
0.1851,0.1832,0.1836,1240828.47,0.1849,2.0,4.29,0.0012999999999999956,-1.0,-1.0,0.1833,0.0,0.0,0.0,0.0,0.0,0.0
