high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,realbody,trend1,trend2,MorningStar,EveningStar
4489.81,4434.9,4439.98,22006.89,98262355.99,4438.96,direct,,-1.019999999999527,,,,
4445.42,4409.74,4438.96,9735.66,43101234.34,4413.72,direct,,-25.23999999999978,,,,
4424.71,4375.95,4413.72,16741.88,73647607.53,4399.59,direct,,-14.13000000000011,,,,
4403.61,4356.44,4399.59,15730.74,68865979.05,4362.89,direct,,-36.69999999999982,,,0.0,0.0
4400.87,4357.55,4362.89,6918.89,30312322.09,4394.54,direct,,31.649999999999636,,,0.0,0.0
4396.27,4374.07,4394.54,3691.27,16182868.55,4376.63,direct,,-17.909999999999854,,,0.0,0.0
4391.71,4360.85,4376.63,5642.8,24699249.01,4380.99,direct,,4.359999999999673,-1.0,,0.0,0.0
4410.72,4346.66,4380.99,12566.39,55044684.87,4383.6,direct,,2.610000000000582,-1.0,-1.0,0.0,0.0
4383.64,4316.67,4383.6,9172.84,39889563.65,4347.24,direct,,-36.36000000000058,-1.0,-1.0,0.0,0.0
4347.38,4287.41,4347.24,15835.05,68288617.55,4317.78,direct,,-29.460000000000036,-1.0,-1.0,0.0,0.0
4322.13,4275.51,4317.78,7883.04,33897884.22,4316.2,direct,,-1.5799999999999272,-1.0,-1.0,0.0,0.0
4322.23,4287.89,4316.2,8250.94,35511388.61,4308.75,direct,,-7.449999999999818,-1.0,-1.0,0.0,0.0
4326.3,4272.27,4308.75,10612.43,45662128.48,4311.12,direct,,2.369999999999891,-1.0,-1.0,0.0,0.0
4312.07,4275.9,4311.12,8020.71,34454162.04,4301.73,direct,,-9.390000000000327,-1.0,-1.0,0.0,0.0
4315.73,4231.23,4301.73,22737.68,96966305.5,4237.52,direct,,-64.20999999999913,-1.0,-1.0,0.0,0.0
4256.02,4142.72,4237.52,55051.01,230850109.16,4206.28,direct,,-31.24000000000069,-1.0,-1.0,0.0,0.0
4237.1,4179.92,4206.28,17426.33,73381194.78,4209.71,direct,,3.430000000000291,-1.0,-1.0,0.0,0.0
4230.91,4162.91,4209.71,12824.29,53917552.57,4165.69,direct,,-44.02000000000044,-1.0,-1.0,0.0,0.0
4179.81,4101.23,4165.69,39141.87,161610001.54,4124.61,direct,,-41.07999999999993,-1.0,-1.0,0.0,0.0
4166.89,4122.03,4124.61,17311.06,71688908.64,4124.87,direct,,0.2600000000002183,-1.0,-1.0,0.0,0.0
4130.33,4077.39,4124.87,31301.58,128344246.84,4123.68,direct,,-1.1899999999995998,-1.0,-1.0,0.0,0.0
4178.8,4111.34,4123.68,14182.1,58822793.19,4167.03,direct,,43.349999999999454,-1.0,-1.0,0.0,0.0
4199.27,4141.31,4167.03,14448.9,60381021.64,4166.01,direct,,-1.019999999999527,-1.0,-1.0,0.0,0.0
4188.92,4109.89,4166.01,10617.77,44177184.93,4111.92,direct,,-54.090000000000146,-1.0,-1.0,0.0,0.0
4198.43,4103.68,4111.92,28829.88,119487915.76,4120.79,direct,,8.86999999999989,1.0,-1.0,0.0,0.0
4173.46,4103.03,4120.79,14949.23,61878374.97,4158.78,direct,,37.98999999999978,1.0,1.0,1.0,0.0
4186.14,4141.42,4158.78,8021.27,33412382.08,4166.97,direct,,8.19000000000051,1.0,1.0,0.0,0.0
4171.12,4128.27,4166.97,6760.14,28045660.57,4142.8,direct,,-24.170000000000073,-1.0,1.0,0.0,1.0
4165.2,4126.96,4142.8,4635.5,19215398.87,4129.81,direct,,-12.989999999999782,-1.0,-1.0,0.0,0.0
4145.05,4104.89,4129.81,6793.34,28000543.68,4122.8,direct,,-7.010000000000218,1.0,-1.0,0.0,0.0
4141.09,4063.56,4122.8,13178.47,54007963.72,4072.0,direct,,-50.80000000000018,-1.0,-1.0,0.0,0.0
4083.99,4023.18,4072.0,28844.43,116868197.12,4028.92,direct,,-43.07999999999993,-1.0,-1.0,0.0,0.0
4083.48,4024.06,4028.92,10490.58,42523399.99,4076.46,direct,,47.539999999999964,-1.0,-1.0,0.0,0.0
4106.89,4059.09,4076.46,7142.45,29171625.54,4103.21,direct,,26.75,-1.0,-1.0,1.0,0.0
4125.47,4089.32,4103.21,6363.04,26136277.32,4093.72,direct,,-9.490000000000236,-1.0,-1.0,0.0,0.0
4171.79,4088.3,4093.72,15300.03,63077958.21,4158.43,direct,,64.71000000000049,1.0,1.0,0.0,0.0
4191.22,4151.76,4158.43,13093.84,54598969.8,4172.01,direct,,13.579999999999927,1.0,1.0,1.0,0.0
4229.29,4138.42,4172.01,21043.76,88311052.92,4205.54,direct,,33.529999999999745,1.0,1.0,0.0,0.0
4220.58,4014.3,4205.54,36328.67,149460382.21,4033.4,direct,,-172.13999999999987,1.0,1.0,0.0,1.0
4089.42,3985.75,4033.4,54509.82,220006504.66,4023.98,direct,,-9.420000000000073,-1.0,-1.0,0.0,0.0
4024.28,3948.25,4023.98,48962.29,195041855.27,3978.68,direct,,-45.30000000000018,-1.0,-1.0,0.0,0.0
3988.19,3933.61,3978.68,25636.56,101501370.93,3971.07,direct,,-7.609999999999673,-1.0,-1.0,0.0,0.0
4022.48,3963.89,3971.07,22249.4,88813066.76,3984.9,direct,,13.829999999999927,-1.0,-1.0,0.0,0.0
4034.59,3970.96,3984.9,14883.02,59647584.46,4018.98,direct,,34.07999999999993,-1.0,-1.0,1.0,0.0
4051.29,4014.77,4018.98,14101.77,56804781.11,4049.89,direct,,30.909999999999854,1.0,-1.0,0.0,0.0
4057.3,3988.86,4049.89,18678.58,75275867.41,3997.24,direct,,-52.65000000000009,1.0,1.0,0.0,0.0
4007.25,3955.07,3997.24,11933.38,47514451.73,3960.44,direct,,-36.79999999999973,1.0,-1.0,0.0,0.0
3980.72,3890.33,3960.44,32791.12,128875965.83,3902.49,direct,,-57.95000000000027,-1.0,-1.0,0.0,0.0
3995.04,3835.8,3902.49,48186.79,188375060.37,3942.64,direct,,40.15000000000009,-1.0,-1.0,0.0,0.0
4004.2,3930.86,3942.64,15792.11,62655773.57,3970.94,direct,,28.300000000000182,-1.0,-1.0,0.0,0.0
3997.0,3956.4,3970.94,8094.6,32209557.48,3991.76,direct,,20.820000000000164,-1.0,-1.0,0.0,0.0
4042.21,3985.31,3991.76,15240.43,61233195.19,4011.54,direct,,19.779999999999745,1.0,-1.0,0.0,0.0
4049.18,4011.54,4011.54,6769.94,27301542.61,4035.37,direct,,23.829999999999927,1.0,1.0,0.0,0.0
4049.42,4022.02,4035.37,5503.83,22193848.34,4032.34,direct,,-3.0299999999997453,1.0,1.0,0.0,0.0
4071.23,3961.62,4032.34,14355.82,57525194.72,3964.55,direct,,-67.78999999999996,1.0,1.0,0.0,0.0
3991.42,3934.42,3964.55,7441.95,29517312.25,3980.84,direct,,16.289999999999964,-1.0,1.0,0.0,0.0
4089.24,3969.03,3980.84,25421.89,102599594.1,4022.67,direct,,41.82999999999993,-1.0,1.0,0.0,0.0
4023.89,3974.85,4022.67,11060.61,44316670.85,4015.84,direct,,-6.829999999999927,-1.0,-1.0,0.0,0.0
4038.4,4004.5,4015.84,5892.83,23720171.82,4022.49,direct,,6.649999999999636,-1.0,-1.0,0.0,0.0
4035.22,4008.19,4022.49,4194.19,16860339.13,4014.66,direct,,-7.829999999999927,1.0,1.0,0.0,0.0
4050.78,4011.35,4014.66,5839.17,23545036.1,4042.47,direct,,27.809999999999945,1.0,1.0,0.0,0.0
4064.55,3999.66,4042.47,8496.31,34223232.42,4011.32,direct,,-31.149999999999636,1.0,1.0,0.0,0.0
4037.48,3994.71,4011.32,5453.48,21905454.26,4032.24,direct,,20.919999999999618,1.0,1.0,0.0,0.0
4061.61,4026.66,4032.24,6087.94,24610772.53,4061.2,direct,,28.960000000000036,1.0,1.0,0.0,0.0
4099.04,4049.35,4061.2,14193.18,57881919.0,4077.78,direct,,16.580000000000382,1.0,1.0,0.0,0.0
4081.34,4036.61,4077.78,8652.47,35119398.78,4047.44,direct,,-30.340000000000146,1.0,1.0,0.0,1.0
4055.38,4026.22,4047.44,5766.36,23294184.21,4040.35,direct,,-7.0900000000001455,1.0,1.0,0.0,0.0
4049.98,4003.16,4040.35,7010.61,28224730.59,4004.93,direct,,-35.42000000000007,-1.0,-1.0,0.0,0.0
4037.17,4004.06,4004.93,6197.66,24924248.0,4016.49,direct,,11.559999999999945,-1.0,-1.0,0.0,0.0
4031.48,3983.71,4016.49,11399.36,45691963.48,4028.82,direct,,12.330000000000382,-1.0,-1.0,0.0,0.0
4068.92,4012.28,4028.82,13820.29,55722865.7,4026.63,direct,,-2.1900000000000546,-1.0,-1.0,0.0,0.0
4096.03,4020.67,4026.63,45759.68,186233549.27,4088.68,direct,,62.04999999999973,1.0,-1.0,0.0,0.0
4100.01,4056.04,4088.68,19383.93,79147117.29,4063.98,direct,,-24.699999999999818,1.0,1.0,0.0,0.0
4075.37,4034.23,4063.98,7823.66,31725409.64,4039.98,direct,,-24.0,1.0,1.0,0.0,0.0
4055.57,4030.55,4039.98,4738.62,19157282.18,4036.21,direct,,-3.769999999999982,1.0,1.0,0.0,0.0
4058.04,4034.99,4036.21,5470.77,22107962.79,4046.33,direct,,10.11999999999989,1.0,1.0,0.0,0.0
4049.48,4009.68,4046.33,5579.16,22491870.33,4017.5,direct,,-28.829999999999927,-1.0,-1.0,0.0,0.0
4051.19,4015.78,4017.5,4862.23,19639528.63,4038.59,direct,,21.090000000000146,-1.0,-1.0,0.0,0.0
4061.0,4037.14,4038.59,4226.69,17123760.9,4057.3,direct,,18.710000000000036,-1.0,-1.0,0.0,0.0
4065.37,4047.47,4057.3,3006.18,12193802.96,4059.32,direct,,2.019999999999982,1.0,1.0,0.0,0.0
4062.54,4000.31,4059.32,11483.06,46288168.33,4013.47,direct,,-45.850000000000364,-1.0,-1.0,0.0,0.0
4028.78,3996.59,4013.47,6017.39,24162669.95,4007.73,direct,,-5.739999999999782,-1.0,-1.0,0.0,0.0
4018.57,3990.11,4007.73,4221.02,16901630.52,4014.36,direct,,6.630000000000109,-1.0,-1.0,0.0,0.0
4058.29,4008.92,4014.36,5912.84,23864342.21,4040.3,direct,,25.940000000000055,-1.0,-1.0,1.0,0.0
4060.43,4029.31,4040.3,5658.52,22883832.42,4038.64,direct,,-1.6600000000003092,-1.0,-1.0,0.0,0.0
4066.06,4044.13,4038.71,9373.79,37946240.08,4048.12,multiply,BTC,9.409999999999854,1.0,-1.0,0.0,0.0
4057.54,4029.34,4047.23,5956.24,24098938.09,4050.85,direct,,3.619999999999891,1.0,1.0,1.0,0.0
4053.13,4020.83,4050.85,5697.67,22979647.07,4028.2,direct,,-22.65000000000009,1.0,1.0,0.0,0.0
4046.77,4021.11,4028.2,6210.83,25028253.98,4046.38,direct,,18.18000000000029,1.0,1.0,0.0,0.0
4091.66,4046.07,4046.38,18111.16,73842529.48,4087.85,direct,,41.4699999999998,1.0,1.0,0.0,0.0
4159.17,4087.85,4087.85,23006.16,95176801.74,4153.55,direct,,65.70000000000027,1.0,1.0,0.0,0.0
4172.13,4140.32,4153.55,15830.69,65801120.09,4141.31,direct,,-12.239999999999782,1.0,1.0,0.0,0.0
4179.55,4140.36,4141.31,8730.95,36335951.43,4148.6,direct,,7.289999999999964,1.0,1.0,0.0,0.0
4156.36,4119.32,4148.6,10051.45,41580144.25,4123.5,direct,,-25.100000000000364,1.0,1.0,0.0,0.0
4157.56,4117.71,4123.5,5397.8,22321020.12,4157.16,direct,,33.659999999999854,1.0,1.0,0.0,0.0
4171.52,4127.9,4157.16,9962.92,41369874.48,4135.31,direct,,-21.849999999999454,1.0,1.0,0.0,0.0
4144.68,4058.61,4135.31,14564.65,59728568.85,4069.72,direct,,-65.5900000000006,-1.0,-1.0,0.0,0.0
4069.72,3965.58,4069.72,34637.39,139057321.0,3972.04,direct,,-97.67999999999984,-1.0,-1.0,0.0,0.0
3998.82,3956.52,3972.04,12706.06,50572911.77,3984.88,direct,,12.840000000000146,-1.0,-1.0,0.0,0.0
4011.21,3975.21,3984.88,9748.54,38944561.06,3999.35,direct,,14.4699999999998,-1.0,-1.0,1.0,0.0
4023.3,3992.76,3999.35,9959.55,39910376.95,4020.58,direct,,21.230000000000018,-1.0,-1.0,0.0,0.0
4049.33,3994.12,4020.58,12326.71,49492312.56,4041.82,direct,,21.240000000000236,-1.0,-1.0,0.0,0.0
4041.84,3986.98,4041.82,25999.16,104071850.9,3993.62,direct,,-48.20000000000027,-1.0,-1.0,0.0,0.0
4010.45,3975.88,3993.62,34336.22,137277004.64,3989.98,direct,,-3.6399999999998727,1.0,-1.0,0.0,0.0
4033.67,3956.48,3989.98,14424.39,57680093.02,4023.29,direct,,33.309999999999945,1.0,1.0,0.0,0.0
4023.32,3990.85,4023.29,4681.34,18736491.12,4001.66,direct,,-21.63000000000011,-1.0,1.0,0.0,0.0
4009.98,3981.96,4001.66,7053.59,28181233.55,3997.71,direct,,-3.949999999999818,-1.0,-1.0,0.0,0.0
4017.85,3991.57,3997.71,6113.93,24504669.26,4014.45,direct,,16.73999999999978,-1.0,-1.0,0.0,0.0
4024.18,3990.29,4014.45,13399.88,53584031.41,3991.42,direct,,-23.029999999999745,1.0,-1.0,0.0,0.0
3998.81,3962.95,3991.42,30372.48,121060342.91,3977.52,direct,,-13.900000000000091,-1.0,-1.0,0.0,0.0
3977.52,3907.09,3977.52,63516.7,249641140.42,3921.15,direct,,-56.36999999999989,-1.0,-1.0,0.0,0.0
3921.8,3769.76,3921.15,64775.46,249234240.13,3811.54,direct,,-109.61000000000013,-1.0,-1.0,0.0,0.0
3832.38,3762.93,3811.54,43653.45,165934444.05,3812.94,direct,,1.400000000000091,-1.0,-1.0,0.0,0.0
3872.9,3803.83,3812.94,32323.65,124077117.18,3829.99,direct,,17.049999999999727,-1.0,-1.0,0.0,0.0
3838.38,3816.2,3829.99,28951.85,110686098.91,3826.71,direct,,-3.2799999999997453,-1.0,-1.0,0.0,0.0
3826.71,3672.91,3826.71,85854.09,320095588.1,3768.83,direct,,-57.88000000000011,-1.0,-1.0,0.0,0.0
3787.74,3724.81,3768.83,34386.4,129170934.64,3755.89,direct,,-12.940000000000055,-1.0,-1.0,0.0,0.0
3781.59,3720.48,3755.89,22692.8,85001291.89,3771.55,direct,,15.66000000000031,-1.0,-1.0,0.0,0.0
3815.09,3760.08,3771.55,15780.22,59853456.78,3796.16,direct,,24.609999999999673,-1.0,-1.0,1.0,0.0
3806.46,3774.77,3796.16,16610.11,62999304.59,3785.08,direct,,-11.079999999999927,-1.0,-1.0,0.0,0.0
3833.96,3769.54,3785.08,19952.88,75718879.02,3818.68,direct,,33.59999999999991,1.0,-1.0,0.0,0.0
3821.66,3768.42,3818.68,13231.25,50137063.02,3785.48,direct,,-33.19999999999982,1.0,1.0,0.0,0.0
3791.55,3753.42,3785.48,8846.72,33359515.17,3783.18,direct,,-2.300000000000182,1.0,1.0,0.0,0.0
3800.88,3759.42,3783.18,9409.04,35572318.15,3776.29,direct,,-6.889999999999873,-1.0,1.0,0.0,0.0
3796.71,3766.65,3776.29,10049.53,38009594.62,3773.13,direct,,-3.1599999999998545,-1.0,-1.0,0.0,0.0
3786.4,3734.05,3773.13,12522.73,47142315.25,3736.98,direct,,-36.15000000000009,-1.0,-1.0,0.0,0.0
3757.09,3687.79,3736.98,18248.68,67835853.22,3727.56,direct,,-9.420000000000073,-1.0,-1.0,0.0,0.0
3785.93,3727.56,3727.56,13425.54,50442595.82,3784.41,direct,,56.84999999999991,-1.0,-1.0,0.0,0.0
3824.75,3784.26,3784.41,19968.77,75920295.0,3820.02,direct,,35.61000000000013,1.0,1.0,1.0,0.0
3823.63,3766.5,3820.02,9626.52,36518058.06,3768.72,direct,,-51.30000000000018,1.0,1.0,0.0,0.0
3819.22,3762.81,3768.72,10659.51,40403713.23,3818.88,direct,,50.16000000000031,1.0,1.0,0.0,0.0
3846.13,3798.01,3818.88,13303.32,50893131.76,3842.34,direct,,23.460000000000036,1.0,1.0,0.0,0.0
3866.8,3825.99,3842.34,15304.26,58902041.4,3827.27,direct,,-15.070000000000164,1.0,1.0,0.0,0.0
3842.69,3770.8,3827.27,14384.8,54635709.88,3796.12,direct,,-31.15000000000009,1.0,1.0,0.0,0.0
3822.0,3765.02,3796.12,14564.59,55255064.91,3820.64,direct,,24.519999999999982,1.0,1.0,0.0,0.0
3836.51,3771.5,3820.64,18011.04,68580187.25,3784.55,direct,,-36.08999999999969,1.0,-1.0,0.0,0.0
3802.6,3749.41,3784.55,20476.05,77450099.04,3766.08,direct,,-18.470000000000255,-1.0,-1.0,0.0,0.0
3799.85,3757.85,3766.08,13072.97,49424473.07,3760.22,direct,,-5.860000000000127,-1.0,-1.0,0.0,0.0
3783.3,3727.32,3760.22,15390.73,57750282.72,3750.04,direct,,-10.179999999999836,-1.0,-1.0,0.0,0.0
